,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,40490298,Vivi_Cir,Vivicir♠️,"Monday Mental Breakdown of a #Leo ♌️ Rising: my Nail broke 😢🙃
 #ENFP #FashionLover ✨💓🛸 https://t.co/cuK1vgmwbk",ENFP,monday mental breakdown leo rising nail broke cry faceupsidedown face sparklesbeating heartflying saucer
1,1,1652690528247648256,nrkrtc,ً,"RT @1gyaon: day 1 🎧

hi! i’m arlea, looking for interactive #moots ! acc is recent but not new to #stantwt #kpoptwt ! new to #kpopbns

♡ sh…",ENFP,day 1 headphone hi im arlea looking interactive acc recent new new sh
2,2,1541250267261579264,_simplyksn,ً haerin day.,"day 2 [restarting]

hi I'm ally, looking for some interactive moots

♪ not new to #stantwt #kpoptwt
♪ she/her | '08… https://t.co/UWfbMiZXlm",ENFP,day 2 restarting hi im ally looking interactive moot new sheher 08
3,3,1562009522654572544,mamihleon,txtfromaya,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP,another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e
4,4,1414394740762550278,namjoonhcrts,ember 🍓 / D-12 UNTIL BDAY!!,"RT @NA0SMI: . . . day ??

hi i'm naomi &amp; i'm looking interactive fil / eng #moots !!

♡ i post using fil / eng 
♡ minor , ENFP 
♡ not new t…",ENFP,day hi im naomi amp im looking interactive fil eng post using fil eng minor enfp new
5,5,1037525239704510464,PKook87,"❤️산's Amanda, Misses her 산🥺","RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP,another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e
6,6,1417409723008098308,jslauren_,HAECHAN MY BABY I MISS YOU,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP,another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e
7,7,52661489,uwheetler,𝕦𝕨𝕚𝕖𝕪𝕦𝕝𝕚𝕒𝕟𝕒,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP,another wayv mbtis cat faceewe infp ten intj yangyang literal idol there many people sauropod e
8,8,1449476081090654209,mochamarichat,MARICHAT MAY,@tlouperfectshot ELLIE IS AN ENFP??? amazing,ENFP,ellie enfp amazing
9,9,1381539504712912896,chanheesredhair,sha,"RT @1gyaon: day 1 🎧

hi! i’m arlea, looking for interactive #moots ! acc is recent but not new to #stantwt #kpoptwt ! new to #kpopbns

♡ sh…",ENFP,day 1 headphone hi im arlea looking interactive acc recent new new sh
