,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1303524469978198016,makirollball,Sabi,add your mbti and 4 characters with the same type. ENTJ https://t.co/0R6tczKYhV https://t.co/2XymdOzQTj,ENTJ,add mbti 4 character type entj
1,1,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@solitarystage I’m gods most normal ENTJ 1w2,ENTJ,im god normal entj 1w2
2,2,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@solitarystage Noel. What’s wrong with being an ENTJ,ENTJ,noel whats wrong entj
3,3,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@TELEP0LE What’s Wrong With Being an ENTJ !,ENTJ,whats wrong entj
4,4,1413989205890457601,HIRA_SHIZU,𝐓𝐇𝐄𝐘 𝐂𝐀𝐋𝐋 𝐌𝐄 𝐇𝐈𝐑𝐀 𒉭,@noandany I only have esfp and infp friends and I really want to have entj and intp friends (specially intps),ENTJ,esfp infp friend really want entj intp friend specially intps
5,5,56722736,carlyinNJ,🧡Carly Says Things Be💗Kind ❇💚🌍 #JusticeMatters,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
6,6,1397781122507968514,mithakyunai,Mithakyunai | Limited,"RT @gabby_world_: 🎨 Gabby Reveal (1) - Raise your AI #NFT to become INTJ &amp; ENTJ🎨

""Bringing brains and brawn to the table, the savvy #INTJ…",ENTJ,artist palette gabby reveal 1 raise ai become intj amp entjartist palette bringing brain brawn table savvy
7,7,138490213,pinnpoint,pinnpoint,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
8,8,17628336,thebenreynolds,Ben Reynolds,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
9,9,17630915,drewloewe,Drew M. Loewe #GoHawks,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
10,10,16662512,michaelluongo,michaelluongo,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
11,11,30109507,mcsweeneys,Timothy McSweeney,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ,entj opportunist instead taking test youll give ted talk explaining test bullshit
12,12,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"¯\_(ツ)_/¯ do you:
a. forgive 
b. forget 
c. cut off 
d. depends ?

#16personalities #mbtimemes #personality #INFP… https://t.co/QkxMAm5VEF",ENTJ,_ツ_ forgive b forget c cut depends
13,13,1486660944142897158,glorysoblessed,Glory 葉 🐵,ENTJ be like~ https://t.co/iJfJkI4m4h,ENTJ,entj like
14,14,995762999989293057,ilovecitt,selene,i chose the intp and entj guys https://t.co/P2gPZxmwT0,ENTJ,chose intp entj guy
15,15,731862813497425920,divumblue,☀,"add your mbti and put four characters that have the same mbti as you

ENTJ

Sebagian besar peran antagonis 🫠… https://t.co/S31NMO0Rs6",ENTJ,add mbti put four character mbti entj sebagian besar peran antagonis
16,16,1331348780864696322,sangokakutrees,sitara hates thua !! 🌺,"entj - out of all 8 cognitive functions, here are your top 4 strongest !! https://t.co/WElP0QZupB",ENTJ,entj 8 cognitive function top 4 strongest
17,17,1486660944142897158,glorysoblessed,Glory 葉 🐵,"my brother, ENTJ, and INFP church brothers (online) talking bout love, girlfriend~
me trying to catch up with the d… https://t.co/6h1UVuEiFB",ENTJ,brother entj infp church brother online talking bout love girlfriend trying catch
18,18,1263443099998736384,redondommmm,redondom,"add ur mbti and put 4 characters that have the same mbti
ENTJ https://t.co/7bBPJLJHaH",ENTJ,add ur mbti put 4 character mbti entj
19,19,1480538412935712768,ycbia,yubia,"add your MBTI and put 4 characters that have the same type

ENTJ https://t.co/cHE2GdMdsn https://t.co/d3tDoLHgTe",ENTJ,add mbti put 4 character type entj
20,20,1495539776576901120,unwavringheart,aster,@vlfeshit @RPGMakerHell entj sp7 is a special breed i fear,ENTJ,entj sp7 special breed fear
21,21,980077880746151936,vlfeshit,nega-adrian😈 (hereforleast) | NIX 🦆,@RPGMakerHell @unwavringheart tw i’m the same but entj so i’m basically as bad,ENTJ,tw im entj im basically bad
22,22,1249326033871998978,entj_1w2,sonya | TOTK 12.05.2023 !!,real https://t.co/PJd6dxD57Z,ENTJ,real
23,23,1249326033871998978,entj_1w2,sonya | TOTK 12.05.2023 !!,RT @moonyplayszelda: anyone else finding the enemies in totk ridiculously difficult to beat or am I just bad at gaming 😭 like when did mobl…,ENTJ,anyone else finding enemy totk ridiculously difficult beat bad gaming loudly cry face like mobl
24,24,1249326033871998978,entj_1w2,sonya | TOTK 12.05.2023 !!,@zeldastruggles a tree killed me 😍😍,ENTJ,tree killed smiling face hearteyessmiling face hearteyes
25,25,1010234888,katwomanfifi,Felicia Perez,"@DaysonRick @MattGlassman312 🤔 I wonder how that plays out with the mbti. In my amateur psychologist’s opinion, I p… https://t.co/VdMbTC8UYi",ENTJ,thinking face wonder play mbti amateur psychologist opinion p
26,26,1597631305529069568,juliasartgalaxy,✨Julia✨,@Ash_days_ Meanwhile me having no idea of my MBTI I mean I got ENTJ when I took the quiz but who knows if that’s my actual MBTI or not,ENTJ,meanwhile idea mbti mean got entj took quiz know thats actual mbti
27,27,1598877389110624257,dyllanator,dyllan | SIMON DAY,"RT @Primadoxxna: ➷ #LOVESTRUCK!ˋ°•*⁀➷
•hiya~,  #promotwt , #anitwt #loatwt and #wlw 
“And I shouldn’t cry,but I love it,stargirl&lt;33”
  
• ˋ…",ENTJ,ˋ hiya shouldnt crybut love itstargirllt 33 ˋ
28,28,60848507,seavenwaves,😶‍🌫️ REEtired 🏹🍫,Idk maybe you guys need to understand that ibara is not the stereotyped entj you guys always think he is bcs i feel… https://t.co/sp3NxD0e6s,ENTJ,idk maybe guy need understand ibara stereotyped entj guy always think bcs feel
29,29,160768522,PurelyNumbers,Lori 👑 Emotional Support CPA,@B_Ray44 @cbriancpa @bsuecannon I’m also an ENTJ. I don’t belong in the accountant role at all 😆,ENTJ,im also entj dont belong accountant role grinning squinting face
30,30,1415953746199203840,shaaabbi,shabi 🕊️🇫🇮,"Add you mbti and 4 characters with the same type

ENTJ https://t.co/w19pEtKcGw https://t.co/ULuLDza3t1",ENTJ,add mbti 4 character type entj
31,31,1019186385356558336,13febbraio2018,•𝓜𝓪𝓻𝓽𝔂 𝓢𝓹𝓪𝓰𝓱𝓮𝓽𝓽𝓲•🌻,"add your mbti and put 4 characters that have the same mbti as you!!

Bonus: Kim Possible, Blair Waldorf e la Princi… https://t.co/9wlHPtU9DG",ENTJ,add mbti put 4 character mbti bonus kim possible blair waldorf e la princi
32,32,1622458997805834242,fieryravenette,Aʀɪᴀ M. Mᴏɴᴛɢᴏᴍᴇʀʏ,"also naturally articulate and speaks in a direct way, which eliminates the informative ENTP. Jughead Jones is an IN… https://t.co/rinjFVuVIM",ENTJ,also naturally articulate speaks direct way eliminates informative entp jughead jones
33,33,707681509000368130,Reygey23,Alex Reyes,"@pomujenn Yea we aint beatin the allegations
ENTJ https://t.co/TGizmcIjz9",ENTJ,yea aint beatin allegation entj
34,34,1502687205084516359,strngrsatellite,"gin, m.s.! 🎱","Add your mbti and put 4 characters that have the same mbti as you! 

entj

i literally can’t make this shit up. eri… https://t.co/Lzcpfe5hA2",ENTJ,add mbti put 4 character mbti entj literally cant make shit eri
35,35,290476003,sum_entj,Süm,@elijahwood None of your business https://t.co/OxiTzYjnpP,ENTJ,none business
36,36,2254928756,valyrianst,valeri🌘,"add your mbti and put 4 characters that have same mbti as you

entj🤘🏼 https://t.co/zk2dEFIec4 https://t.co/hpuS1Rk3DM",ENTJ,add mbti put 4 character mbti entjsign horn mediumlight skin tone
37,37,1496817589040857092,heidiclarice222,heidi ☆彡,"add your mbti and put 4 characters that have same mbti as you

entj🌟 https://t.co/oQSkk7zXRF https://t.co/nYH2J82grg",ENTJ,add mbti put 4 character mbti entjglowing star
38,38,1541094986321641472,Primadoxxna,➷ lesbian president vix➷,"➷ #LOVESTRUCK!ˋ°•*⁀➷
•hiya~,  #promotwt , #anitwt #loatwt and #wlw 
“And I shouldn’t cry,but I love it,stargirl&lt;33”… https://t.co/0eFPU9Z0GD",ENTJ,ˋ hiya shouldnt crybut love itstargirllt 33
39,39,1514339223930875910,plutonianthinks,AMIRA✧,The way i feel always that deep comfort in characters (only klaus)  that are my shadow ( entj ),ENTJ,way feel always deep comfort character klaus shadow entj
40,40,1544697942048550912,Morgan2pointo,It's Morgan Time! 🪩🧭,"add your mbti and 4 characters with the same type!  

ENTJ https://t.co/EhJI6VTz4j https://t.co/SNZSBj7IKj",ENTJ,add mbti 4 character type entj
41,41,1464670395890548736,vampirel3azwa,🧛🏿‍♂️,"RT @yonderly_777: ENTJ
They r all so me nul love them https://t.co/HTwpdRcb5x",ENTJ,entj r nul love
42,42,1644001220179132417,istdieliebet0t,james 🦌 finals era (13/16),"@preziosestelle I went on that character personality database website and looked up hannibal characters, scrolled t… https://t.co/nqKvw38WSN",ENTJ,went character personality database website looked hannibal character scrolled
43,43,1539415416375762946,T0JIDDIES,dua,the entj cuntress solidarity https://t.co/19KdxY8uxN,ENTJ,entj cuntress solidarity
44,44,1593031034437865478,felipe_devstdy,Felipe 🧑🏻‍💻 | collegetwt,"RT @meryonstudytw: hayo, I'm new to #studytw 🪼
🪻19 y.o.
🪻MedStudent
🪻love immunology 
🪻virgo ♍️  &amp; ENTJ
🪻I also like physics and chem 

I d…",ENTJ,hayo im new 19 yo medstudent love immunology virgo virgo amp entj also like physic chem
45,45,1427642383383019537,Hameedmoyal1,"Hameedmoyal.| Fuelet Free, Own🧟‍♂️","RT @gabby_world_: 🎨 Gabby Reveal (1) - Raise your AI #NFT to become INTJ &amp; ENTJ🎨

""Bringing brains and brawn to the table, the savvy #INTJ…",ENTJ,artist palette gabby reveal 1 raise ai become intj amp entjartist palette bringing brain brawn table savvy
