,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1414280319465885696,neteyawntu,liana.com,"add your mbti and add four characters that have the same mbti as you.

ENTP https://t.co/XUXi4102Uq https://t.co/Dhnbo7ZnCJ",ENTP,add mbti add four character mbti entp
1,1,1246105934826336256,lvffyasce,cey,"add your MBTI and put 4 characters that have the same type

ENTP https://t.co/08TVaepnMu https://t.co/GXrXMEsTuf",ENTP,add mbti put 4 character type entp
2,2,1637758335486132224,vinribbon,vin 💫 VNC COMEBACK,"Vanitas because I’m entp, I have trust, adhd and a developing personality disorder https://t.co/erAO3e3RjU",ENTP,vanitas im entp trust adhd developing personality disorder
3,3,1650468001756614656,Sneha_117,Snehanjali Panigrahy,@Ripudaman919 Hence INFJ &amp; INTJ make good friendships due to similarity and INFJ &amp; ENTP make good partnerships due to complementary nature.,ENTP,hence infj amp intj make good friendship due similarity infj amp entp make good partnership due complementary nature
4,4,1650468001756614656,Sneha_117,Snehanjali Panigrahy,"@Ripudaman919 See this comparison.
INFJ &amp; INTJ share same Ni, same view of world, same weakness(Se). INFJ Fe helps… https://t.co/fVNG6HMZ0L",ENTP,see comparison infj amp intj share ni view world weaknessse infj fe help
5,5,1309194522014908419,Kae910_,🧷KaeƸ̵̡⁠Ӝ̵̨̄⁠Ʒ Documental de mi decadencia mental,"RT @http_nxng: ❥๑━━━━━━━━━━━๑❥   
  Hello to all!
  • Luca or Sunny 
    •I play idv (ask for my id) 
    •18 old
     •ENTP
   •I'm a cosp…",ENTP,rt ๑๑ hello luca sunny play idv ask id 18 old entp im cosp
6,6,1355268729152577537,Netty_yeager,Netty | yeager.eth,"@ENSTradingPost GM ENTP, good to see you back!

Hallucinogens.eth - 0.99

UltimatePoker.eth - 0.5

ResumeHelp.eth - 0.35",ENTP,gm entp good see back hallucinogenseth 099 ultimatepokereth 05 resumehelpeth 035
7,7,1361494376388595715,jenhhsi,ً,"hi, i’m yze ✩°｡⋆⸜ 🎧

— 15, he / them, filo, ambivert, ENTP. 
— https://t.co/Uw9MRaK7S4 https://t.co/SjxVm0FeZH",ENTP,hi im yze headphone 15 filo ambivert entp
8,8,1430708542911225857,sooboots,Bella Hadid,@cuntresslee i think ur entp bcz u dont gaf,ENTP,think ur entp bcz u dont gaf
9,9,1430708542911225857,sooboots,Bella Hadid,@cuntresslee i am entp,ENTP,entp
10,10,1222305103824277504,ara_monique5,𝓐𝓇𝒶 𝓜𝑜𝓃𝒾𝓆𝓊𝑒 🏹🏛,"add your mbti and add four characters that have the same mbti as you.

ENTP https://t.co/MEdx6Zer8P https://t.co/MMOoCPqb6l",ENTP,add mbti add four character mbti entp
11,11,1530085527034408960,aroshizue,keris ☆,reply under this tweet tama pics cause i really need more female entp characters,ENTP,reply tweet tama pic cause really need female entp character
12,12,1530085527034408960,aroshizue,keris ☆,"entp… 

pdb says akira is an entp but i don’t get the vibe 

i’m too lazy to search up stuff and new images so i’m… https://t.co/eXwfdW3Syr",ENTP,entp pdb say akira entp dont get vibe im lazy search stuff new image im
13,13,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"¯\_(ツ)_/¯ do you:
a. forgive 
b. forget 
c. cut off 
d. depends ?

#16personalities #mbtimemes #personality #INFP… https://t.co/QkxMAm5VEF",ENTP,_ツ_ forgive b forget c cut depends
14,14,1275430816500203522,ayatosbobamilk,deb ⟡,@karaeiken is this entp behaviour,ENTP,entp behaviour
15,15,1256338589979480064,edgarnumber1fan,nez || ຽ( ⊗ ‸ ⊗ ) ♡ (`⊗﹁◓´),"RT @http_nxng: ❥๑━━━━━━━━━━━๑❥   
  Hello to all!
  • Luca or Sunny 
    •I play idv (ask for my id) 
    •18 old
     •ENTP
   •I'm a cosp…",ENTP,rt ๑๑ hello luca sunny play idv ask id 18 old entp im cosp
16,16,1496111695474868225,akafuuji,𝙁𝙐𝙐𝙅𝙄 !!,"#anitwt  #genshintwt #hsrtwt
 hi ! looking for moots/friends !! 💛

⁠→ she/her | 17 | entp 
⁠→ gi, hsr, jjk, fruba,… https://t.co/zU7VRajlV4",ENTP,hi looking mootsfriends yellow heart sheher 17 entp gi hsr jjk fruba
17,17,1278382471,QueenSacrier,⭒Anwen de apellido Insoportable⭒,"Add your mbti and put 4 characters that have the same mbti as you 😎

Entp

Los que más me representan xdd… https://t.co/MdiYK0aUzE",ENTP,add mbti put 4 character mbti smiling face sunglass entp los que más representan xdd
18,18,1537071237309947906,flavo_occidens,Linyaw,"ak ijin qrt yah hwhsw

Add your MBTI and put 4 characters that have the same type

ENTP ngueng… https://t.co/4cU5BYDjtb",ENTP,ak ijin qrt yah hwhsw add mbti put 4 character type entp ngueng
19,19,1625099719709007873,karaeiken,hyoga defender,@ayatosbobamilk no wonder ur entp,ENTP,wonder ur entp
