,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1434120711325421572,kochiyoooo,Chiyo,"add your MBTI and put 4 characters that have the same type

ESFJ ✌️✌️✌️ https://t.co/9MSrWs1UKB https://t.co/AA8LI3zGRb",ESFJ,add mbti put 4 character type esfj victory handvictory handvictory hand
1,1,1627993998303576064,ziyyasalss,Ȥყαɳσʂυƙҽ,"add your MBTI and put 4 characters that have the same type

ESFJ (❁´◡`❁) https://t.co/XZFVUbcAUy https://t.co/qrPem9PhHv",ESFJ,add mbti put 4 character type esfj
2,2,1652910555206909953,xeiiliann,xei • i love hua cheng,"RT @SweetMoonlily: new to #hsrtwt and finding moots !! 
 ‘ Moon, he/him.15.
 ‘ ESFJ. Himeko main (°•°)♪

♡ / ↺ to be moots :O https://t.co/…",ESFJ,new finding moot moon hehim 15 esfj himeko main moot
3,3,1498524995198554115,utotnapwet,toti marie tess,"RT @kyefcxs: [ restarting . . . ]

✧ helloo ! i'm kye ⚘
minor , she , filo , esfj

i'm looking for filo interactive moots !!
not new to #kp…",ESFJ,restarting helloo im kye minor filo esfj im looking filo interactive moot new
4,4,1650446021347119104,chvlree,r . ia,"RT @kyefcxs: [ restarting . . . ]

✧ helloo ! i'm kye ⚘
minor , she , filo , esfj

i'm looking for filo interactive moots !!
not new to #kp…",ESFJ,restarting helloo im kye minor filo esfj im looking filo interactive moot new
5,5,867601724277612544,_axeru,ax,I WENT FROM I/ESFJ TO ENFP????? @estprettie EXPLAIN,ESFJ,went iesfj enfp explain
6,6,1657777953047220229,znxyne,yana🎧,"RT @_pagaral: hi, i am gab/sherb! not new here but i’m redoing my intro hehe + still lf moots/bffs!

  ☆  14, she, esfj
  ☆  incoming gr11…",ESFJ,hi gabsherb new im redoing intro hehe still lf mootsbffs 14 esfj incoming gr11
7,7,1522971466731507714,mfairlysun,َ,"RT @kyefcxs: [ restarting . . . ]

✧ helloo ! i'm kye ⚘
minor , she , filo , esfj

i'm looking for filo interactive moots !!
not new to #kp…",ESFJ,restarting helloo im kye minor filo esfj im looking filo interactive moot new
8,8,1492233739723751429,shijo_xie,Yeo ♡ IFB!,"RT @kyefcxs: [ restarting . . . ]

✧ helloo ! i'm kye ⚘
minor , she , filo , esfj

i'm looking for filo interactive moots !!
not new to #kp…",ESFJ,restarting helloo im kye minor filo esfj im looking filo interactive moot new
9,9,1650317536603566081,omg_kuki1sol,Kuki | Hiatus (?),"RT @kyefcxs: [ restarting . . . ]

✧ helloo ! i'm kye ⚘
minor , she , filo , esfj

i'm looking for filo interactive moots !!
not new to #kp…",ESFJ,restarting helloo im kye minor filo esfj im looking filo interactive moot new
