,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1102141776712753152,artsodef,Melvic - OFF,estj peeps are the hottest wbk :) https://t.co/wnPTmnJuBS https://t.co/GCWhsRnwat,ESTJ,estj peep hottest wbk
1,1,1179404854474596352,yungvamps,interesting critter 🐛,"add your mbti and put 4 characters that have the same mbti as you: 

i cheated and added both istj and estj because… https://t.co/FQd2mhIcEt",ESTJ,add mbti put 4 character mbti cheated added istj estj
2,2,1160372764123025409,reybeann,reybeann,wait no i might be ESTJ. the opposite of how i used to test (INFP). i think my younger self was infp but now i’m the opposite 🤔 maybe. idk.,ESTJ,wait might estj opposite used test infp think younger self infp im opposite thinking face maybe idk
3,3,1278830390933958658,LisaRose_Brown,lisa-rose / circus lover,"RT @pagesofvelaris: add your mbti and put 4 characters that have same mbti as you

ESTJ 🫣🫣🫣 https://t.co/U9svFakUTT",ESTJ,add mbti put 4 character mbti estj
4,4,1163185955685183489,pagesofvelaris,Elijah 🍈 Ruhns 4th thing,"add your mbti and put 4 characters that have same mbti as you

ESTJ 🫣🫣🫣 https://t.co/OL0Zr1CmtK https://t.co/U9svFakUTT",ESTJ,add mbti put 4 character mbti estj
5,5,1297394482980089857,SourabhStephen,stephen | stephenwolf.bnb | Suiswap .bit 🐐 🌊📘⚪⚫,"RT @gabby_world_: 🎨 Gabby Reveal (6) - Raise your AI #NFT 🎨

Reliable and responsible, the practical #ISTJ and efficient #ESTJ are the ulti…",ESTJ,artist palette gabby reveal 6 raise ai artist palette reliable responsible practical efficient ulti
6,6,1427642383383019537,Hameedmoyal1,"Hameedmoyal.| Fuelet Free, Own🧟‍♂️","RT @gabby_world_: 🎨 Gabby Reveal (6) - Raise your AI #NFT 🎨

Reliable and responsible, the practical #ISTJ and efficient #ESTJ are the ulti…",ESTJ,artist palette gabby reveal 6 raise ai artist palette reliable responsible practical efficient ulti
7,7,1603320558103408641,Megurians,Juvelian.,"@ssefnum I'm an ESTJ (latest MBTI), and I tend to be a soft-dom, if we're talking more honestly. Furthermore, I'm a… https://t.co/HLrxSEsUX2",ESTJ,im estj latest mbti tend softdom talking honestly furthermore im
8,8,986227506096164864,troyesdemigods,vrash #1 cardan defender brina's bday!! 💌,all I can see is estj n esfp being dumbasses 🤦🏽‍♀️ https://t.co/SjoRBhcHph,ESTJ,see estj n esfp dumbass woman facepalming medium skin tone
9,9,1160587799759900673,charlestierling,𝐂.,"add your mbti and put 4 characters that have the same mbti as you

estj https://t.co/WwPfoGm0zo https://t.co/jaX55Eoi3O",ESTJ,add mbti put 4 character mbti estj
10,10,1265470302084984832,juunmyen,riii,"RT @pcyxxloey: 050623 | EXO-L ACE UPDATE WITH #BAEKHYUN 

MBTI: ESTJ
To. EXO-L: Thank you always
Today is: &gt;_&lt;
BGM: EXO - MAMA
Lucky Number…",ESTJ,050623 exol ace update mbti estj exol thank always today gt_lt bgm exo mama lucky number
11,11,1558594816232984576,ranitakahashi,Rara,@ssefnum ESFP and surprisingly my closest ones are mostly ESTJ😂,ESTJ,esfp surprisingly closest one mostly estjface tear joy
