,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1474887642886012929,spideydjo,stevie,@steebdeeby OH? we do? 👀 i’ve done the test multiple times and i’ve gotten enfp and estp i think but i did it twice… https://t.co/H4LgZnOnty,ESTP,oh eye ive done test multiple time ive gotten enfp estp think twice
1,1,1559510827950030848,_GEKK0U,rory 🌕 d5,haters mad bc im estp,ESTP,hater mad bc im estp
2,2,1138299293658492929,J00NSAT7RN,hannah⁷ SAW AGUST D x2 🥢,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP,day 12 looking interactive moot kaden hehim estp mainly bg stan im stay p1ece lyon army e
3,3,1544552012490088449,thatlemmon,Lemmon★★★★★DM LIMIT,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP,day 12 looking interactive moot kaden hehim estp mainly bg stan im stay p1ece lyon army e
4,4,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"¯\_(ツ)_/¯ do you:
a. forgive 
b. forget 
c. cut off 
d. depends ?

#16personalities #mbtimemes #personality #INFP… https://t.co/QkxMAm5VEF",ESTP,_ツ_ forgive b forget c cut depends
5,5,1437315801657208839,marziethepan,❧ marzie,"RT @bubblybreezyy: #ESTP redesign ☀️😎🎆🎇

#estp #mbtiart #mbtifanart #mbti #MBTI #16p #16Personalities https://t.co/4aeHtOuGKw",ESTP,redesign sunsmiling face sunglassesfireworkssparkler
6,6,1462627742051192836,lachimonaraa,lauren loves kayden,"add your mbti and put four characters that have the same mbti as you

estp

SEE I HAPPEN TO BE REALLY FUCKED UP… https://t.co/gqs8m6ztCV",ESTP,add mbti put four character mbti estp see happen really fucked
7,7,1634112240386453504,ilovemongmong,rinn ! ♡ lf moots,"RT @kimseungminonly: day 11 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP,day 11 looking interactive moot kaden hehim estp mainly bg stan im stay p1ece lyon army e
8,8,1550835888414158848,jnrixs,rxs || finding moots,"RT @kreziuiu: hii, I'm krez. looking for friendly and interactive moots!! 

--filo, estp, minor
--au writer minsan (@reiuiuiu), panggulo ma…",ESTP,hii im krez looking friendly interactive moot filo estp minor au writer minsan panggulo
9,9,1490860041435774976,jyubeiaryuu,L kampretudin.,"add your MBTI and put 4 characters that have the same type

sy ESTP apa nama julukannya aowkwowk.… https://t.co/ClM6jQxy8f",ESTP,add mbti put 4 character type sy estp apa nama julukannya aowkwowk
10,10,1395952028417884163,foxietaru,El-Nath🦊,"Add your MBTI and put 4 characters that have the same type

I'm ESTP https://t.co/LIEnwxPFPC https://t.co/1KBwSQ6kUF",ESTP,add mbti put 4 character type im estp
11,11,1331348780864696322,sangokakutrees,sitara hates thua !! 🌺,"estp - out of all 8 cognitive functions, here are your top 4 strongest !! https://t.co/Nud7T022vs",ESTP,estp 8 cognitive function top 4 strongest
12,12,1241348781288742912,bukanxace,jiken,"add your MBTI and put 4 characters that have the same type

ESTP here☝️ https://t.co/40nUW5Ea2H https://t.co/ft5d7BgJ71",ESTP,add mbti put 4 character type estp hereindex pointing
13,13,1654639424905310209,hyeelliee,gabiru,"Add your mbti and put 4 characters that have the same mbti as you!   

ESTP https://t.co/Y5qoKLmto8 https://t.co/t7s2vMOjby",ESTP,add mbti put 4 character mbti estp
14,14,1413447735768801287,kreziuiu,krez : ia madalas,"hii, I'm krez. looking for friendly and interactive moots!! 

--filo, estp, minor
--au writer minsan (@reiuiuiu), p… https://t.co/zSIaVlsL2F",ESTP,hii im krez looking friendly interactive moot filo estp minor au writer minsan p
15,15,1507108494171910153,kshcharm,sil ☕️,@redmyeonnie yeaah we’re no longer twinning on that skdkd i got turned into a cursed estp 😭🫂,ESTP,yeaah longer twinning skdkd got turned cursed estp loudly cry facepeople hugging
