,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1349608913205772294,_kikiyay,Yaya,Kkkk ISTP like the total opposite of INFJ and thinking the target audience is koreans who believe in mbti system...… https://t.co/IupAIcdVjQ,INFJ,kkkk istp like total opposite infj thinking target audience korean believe mbti system
1,1,1462148699547656192,TheHalleysystem,Lucifer's child,"RT @TakeshiKovac69: ✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : death…",INFJ,hi finding friend black heart name takeshi ringed planet hehim infj 22 pisces pisces ar 24 genshin death
2,2,2886723798,zeandipity,zea.,@ssefnum i see wjsn and i click! a hello dari infj 👋🤧,INFJ,see wjsn click hello dari infj waving handsneezing face
3,3,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"RT @TakeshiKovac69: ✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : death…",INFJ,hi finding friend black heart name takeshi ringed planet hehim infj 22 pisces pisces ar 24 genshin death
4,4,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : d… https://t.co/oTyMTssfKV",INFJ,hi finding friend black heart name takeshi ringed planet hehim infj 22 pisces pisces ar 24 genshin
5,5,1490071764839370753,ESCAttitude,Eurovision with Kristina,"@grace_is_sugoi Bestie, I'm also infj and lavender 🌺🌹",INFJ,bestie im also infj lavender hibiscusrose
6,6,1217659017306075136,tyunslullaby,•⁵아라⁷• 🌙🕊️,RT @aneduketet: @txt_introvert one thing about infj is that we know. we somehow always know what was not supposed to be known. we be making…,INFJ,one thing infj know somehow always know supposed known making
7,7,3181154820,gureum516,☁️ odorable 🎶 feeling wonderful 🥰,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,INFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
8,8,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn and if INFJ will share with you then you are good. As INFP this will usual… https://t.co/T1yKWyhw0W,INFJ,infj share good infp usual
9,9,1188906293257478145,viinterchild,miki⁷🌻,"@daegu_AD but who is the sunflower ???

infj = rose
? = sunflower",INFJ,sunflower infj rose sunflower
10,10,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn ISFJ often like concepts &amp; learning but they do not see concepts and actio… https://t.co/8gi6tnEV0J,INFJ,isfj often like concept amp learning see concept actio
11,11,1400710388795146240,BowTiedDoe,BowTiedDoe,"@minordissent @artemis_458 @redhandsofdawn Yeah my boss is most prob an INFJ  

Future-oriented, high stimulation h… https://t.co/AIEUe5Vkzu",INFJ,yeah bos prob infj futureoriented high stimulation h
12,12,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn ISFJ see the trees INFJ see the forest.,INFJ,isfj see tree infj see forest
