,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn ISFJ mask is usually pretty easy to get through if they like you at all. T… https://t.co/PZNK9B8O8G,ISFJ,isfj mask usually pretty easy get like
1,1,1199581659923763201,neovision_,nat🍳,Very isfj of me,ISFJ,isfj
2,2,1658752167451172864,d0kyeomthinker,robyn☆¹⁷,"RT @adorbs_aya: ~day 05💌
hello ! i'm aranya &gt;&lt;
-she/her | thai | '06 line | isfj
-not new to #stantwt/#kpoptwt
-preferably dive, once, fear…",ISFJ,day 05love letter hello im aranya gtlt sheher thai 06 line isfj new preferably dive fear
3,3,1258286491429732352,taeraeult,dee,the way im an isfj but probably only 2% of J cause why am i so different if i compare myself with him 😭 https://t.co/57VAzQ2Rez,ISFJ,way im isfj probably 2 j cause different compare loudly cry face
4,4,1166954697674018816,Beshine65919992,mint💚,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
5,5,1627615546136236034,kyupinsdomain,kyupi,"From personal experience I really don't recommend taking tests for mbti, even if you're using one for functions; Th… https://t.co/7B6GeHYED0",ISFJ,personal experience really dont recommend taking test mbti even youre using one function th
6,6,1475434085963026432,mingkyeomver,sam𖧷✨🫶 saw svt & enha,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
7,7,1617084723498733568,rie_vhy,Rie,"RT @adorbs_aya: ~day 05💌
hello ! i'm aranya &gt;&lt;
-she/her | thai | '06 line | isfj
-not new to #stantwt/#kpoptwt
-preferably dive, once, fear…",ISFJ,day 05love letter hello im aranya gtlt sheher thai 06 line isfj new preferably dive fear
8,8,1447608724646944774,Sasamalis,samalis💙🏴‍☠️,The test I took here says I'm ISFJ and I checked the test I took officially and it says I'm an ISFP. I guess I will… https://t.co/PkVpbKK16K,ISFJ,test took say im isfj checked test took officially say im isfp guess
9,9,1188408346530873344,jjlovers2313,Miss Angst,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
10,10,1601614290712408064,adorable_wonyy,𝐸𝑚𝑖𝑙𝑦. ☁︎ | ifb !,"RT @adorbs_aya: ~day 05💌
hello ! i'm aranya &gt;&lt;
-she/her | thai | '06 line | isfj
-not new to #stantwt/#kpoptwt
-preferably dive, once, fear…",ISFJ,day 05love letter hello im aranya gtlt sheher thai 06 line isfj new preferably dive fear
11,11,1001260524997197826,iamangiehagupit,IamAngie,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
12,12,443565317,jaehyxnt,.Fadit Evánder,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
13,13,1257075477468110849,itsriridelreY,♱,Isfj atp the universe is playing with me💀,ISFJ,isfj atp universe playing meskull
14,14,273323743,aorrrd,อ้อหรอคะ 😒,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,ISFJ,fun fact know jaehyun extrovert unit esfp doyoung jungwoo isfj
15,15,1332296296875560961,Camisu01,Cassie | RE:VALE WEDDING,"@starryamada Weirdly enough, I believe isfj is the most common mbti out there?? So many different animanga characte… https://t.co/FlnAoB03Ht",ISFJ,weirdly enough believe isfj common mbti many different animanga characte
16,16,1504927783021158407,ahngyeongjun,안경준 | 문빈 사랑해🌙 | 금/아민 월 | CIX 컴백 D-10 | 크래비티 D-30,💙: if I don’t marry an isfj (Seonghwa) I might d word,ISFJ,blue heart dont marry isfj seonghwa might word
