,Unnamed: 0,user_id,user_screen_name,user_name,text,personality_type,cleaned_text
0,0,1619719315464519685,niniyaazz,niya✿,@taeraebokki I need hao and yujin as guest cause hao is also isfp and yujin is also a maknae,ISFP,need hao yujin guest cause hao also isfp yujin also maknae
1,1,1331620633726259200,ssefnum,"Ssefnum ON, cek likes. 💚",my tl is as dry as the desert and by here i want to expand my social circle. a brief about me that i go by feminine… https://t.co/QskSi5cRqm,ISFP,tl dry desert want expand social circle brief go feminine
2,2,1402699693109485572,txtinhos,gab,@meumarkrenmin omg isfp besties,ISFP,omg isfp besties
3,3,1517477413264920576,_svtshua,joshua's 여보 🌻,from intp - isfp - isfp. wow the consistency hahahahaha https://t.co/5gV62FLIbt,ISFP,intp isfp isfp wow consistency hahahahaha
4,4,1309728901904478208,kyuuchew,sya,@catquanrui I thought im extrovert person turn out im isfp 😦,ISFP,thought im extrovert person turn im isfp frowning face open mouth
5,5,1607503049324371969,eepystarshine,Ena,@koipuffs I almost shat myself bcbi thought it said isfp (me) and I wasnlike IM A SHINJI?!?!??!,ISFP,almost shat bcbi thought said isfp wasnlike im shinji
6,6,1304801547902091265,cellnxxb,cellnxxb,@isfp_k Doubt？,ISFP,doubt
7,7,1644066061464096794,trickhaus,mave,@joongkyus i used a different website other than 16personalities and got an mbti that was really accurate i did a w… https://t.co/kn7kRSR0ei,ISFP,used different website 16personalities got mbti really accurate w
8,8,1241560476292702213,ABasementCat,Basement Cat,"For May 18th, we have: 
Flickerkit
Finchlight
Nightheart

Note: I mostly went with Taurus for Nightheart because it… https://t.co/THZ82feDCa",ISFP,may 18th flickerkit finchlight nightheart note mostly went taurus nightheart
9,9,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit: D.C. was full of Sugar 🍯

🔗 https://t.co/FQGvJblvkT

#투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #ACT_SWEET_MIRAGE #TXT_ASM_TOUR",ISFP,dc full sugar honey pot link
10,10,1460774618134765571,Profokiev,Profokiev || AIB Era,"She's esfp??? Not isfp??? Again esfp 4 being labelled as introvert, common mistake https://t.co/l5y1GFdqep",ISFP,shes esfp isfp esfp 4 labelled introvert common mistake
11,11,2540635824,sevialee7,SIAP MENCINTAI ZB1! TAERAE HAOBIN,@zhxngbiin Isfp = istigfar,ISFP,isfp istigfar
12,12,1559786778068131841,isfp_girl07,はいからさん@shanbin,RT @shbpics: breathtaking https://t.co/LHRENEwCDj,ISFP,breathtaking
13,13,262795624,PersonalityHack,Personality Hacker,"Full Episode 478: https://t.co/xU8gDaHQgW

ISFP Career Shifts Over Time

#isfp #careers #16personalities #MBTI… https://t.co/2IpqGKexp6",ISFP,full episode 478 isfp career shift time
14,14,1234449371338395648,moonsearth99,Sarachiii⁷,"I'm ISFP.. jk used to be isfp
We both can paint (or at least i think i can paint)
We're quiet but actually loud https://t.co/X9v5b1D5HK",ISFP,im isfp jk used isfp paint least think paint quiet actually loud
15,15,1253850385824886784,nancyfication,ᴅʏ 💎,@mmld_stannn oh isfp gang ☺️,ISFP,oh isfp gang smiling face
16,16,1074915294768852992,mmld_stannn,pichy_theworld,@nancyfication I’m also ISFP😆,ISFP,im also isfpgrinning squinting face
17,17,1652997391979806720,lydian_pt2,Lydian/Shari⛓️,"RT @vampireshearts: ➷ day 6 of looking 4 #hsrtwt moots
⭒                caius 15 isfp＇

➲ ⠀⠀ ✶ ⠀⠀ honkai,hsr, genshin,pjsk++     ⁾⁾　⠀

   ⠀…",ISFP,day 6 looking 4 moot caius 15 isfp honkaihsr genshinpjsk
18,18,1559786778068131841,isfp_girl07,はいからさん@shanbin,"RT @SHANBINGLOBAL: [PHOTO] 230518 📸

Sung Hanbin x @1stlookofficial

#ZEROBASEONE #SUNGHANBIN #성한빈 https://t.co/t0hapgSSPO",ISFP,photo 230518 camera flash sung hanbin x
19,19,1495132284671963145,neko_cscs,neko,"RT @vampireshearts: ➷ day 6 of looking 4 #hsrtwt moots
⭒                caius 15 isfp＇

➲ ⠀⠀ ✶ ⠀⠀ honkai,hsr, genshin,pjsk++     ⁾⁾　⠀

   ⠀…",ISFP,day 6 looking 4 moot caius 15 isfp honkaihsr genshinpjsk
20,20,1550567241544237056,catluvr177,kuromi,@heyitshadeell im also an isfp girl hiiii,ISFP,im also isfp girl hiii
21,21,1523211228562173952,waltzofamber,Ryou,"add your MBTI and put 4 characters that have the same type

ISFP

(Cuma tiga ih) https://t.co/HIar772HKD https://t.co/rG87OlGWFZ",ISFP,add mbti put 4 character type isfp cuma tiga ih
22,22,1559786778068131841,isfp_girl07,はいからさん@shanbin,RT @haobinsplanet: FLOWER BOYS https://t.co/CyBfIjhvRI,ISFP,flower boy
23,23,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit: TOMORROW X TOGETHER WORLD TOUR &lt;ACT : LOVE SICK&gt; IN SEOUL Preview Cuts
(https://t.co/UOvyICJJRP)

#투모로우바이투게더 #TOMORROW_X_TO…",ISFP,tomorrow x together world tour ltact love sickgt seoul preview cut
24,24,1473346266813849608,i4_44h,la mamma di pallina,"RT @Deidarackerman_: Add your MBTI and put 4 characters that have the same type  

ISFP

Sisi, tutto bene da queste parti 💀 https://t.co/GO…",ISFP,add mbti put 4 character type isfp sisi tutto bene da queste parti skull
25,25,1574202401497960448,soobnomz,doll,just realized both soobin and eunchae’s mbti are isfp + mubank mcs i think i have a specific type https://t.co/WVNMj8l86v,ISFP,realized soobin eunchaes mbti isfp mubank mc think specific type
26,26,1628125365494288401,gojoblindfold_,Théa,"add your mbti with 4 characters with your same type ;)

isfp https://t.co/Q9iUvs1QYo https://t.co/smNF6EvWI0",ISFP,add mbti 4 character type isfp
27,27,883387625767350272,Deidarackerman_,Loba Ackerman 🍥🍅 Kaveh c2 HAVER!!!,"Add your MBTI and put 4 characters that have the same type  

ISFP

Sisi, tutto bene da queste parti 💀… https://t.co/3YJVHAGlum",ISFP,add mbti put 4 character type isfp sisi tutto bene da queste parti skull
28,28,1407818943637692420,KAED3HARAS,niamh,"add ur mbti and 4 characters with ur type!!!!

isfp https://t.co/xO1MYnm7Tv https://t.co/Txa0wSOyi0",ISFP,add ur mbti 4 character ur type isfp
29,29,1550567241544237056,catluvr177,kuromi,@heyitshadeell @halasboba @sssewaroo someone mentions isfp and suddenly the whole gang in the replies,ISFP,someone mention isfp suddenly whole gang reply
30,30,1592476757902635009,originallyskyy,mae || ia dont unfollow!!,"RT @myouiiri: hii i’m looking for interactive moots

new acc but not new to #stantwt #kpoptwt

— # i’m ish, ISFP, she/her 

— ❥ ults ; twic…",ISFP,hii im looking interactive moot new acc new im ish isfp sheher ults twic
31,31,1542226815477055490,halasboba,حلحولة 🎀,@heyitshadeell OMG isfp bestieee,ISFP,omg isfp bestieee
32,32,1657707709767245827,myouiiri,ish | achi day!,"hii i’m looking for interactive moots

new acc but not new to #stantwt #kpoptwt

— # i’m ish, ISFP, she/her 

— ❥ u… https://t.co/dVnoSrPOCm",ISFP,hii im looking interactive moot new acc new im ish isfp sheher u
33,33,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit_jp: SWEET - Concept Clip 'Surrender'
#HUENINGKAI (#휴닝카이)

#TOMORROW_X_TOGETHER #투모로우바이투게더 
#TXT 
#TXT_SWEET https://t.co/tuK…",ISFP,sweet concept clip surrender
34,34,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit_jp: SWEET - Concept Clip 'Surrender'
#TAEHYUN (#태현)

#TOMORROW_X_TOGETHER #투모로우바이투게더 
#TXT 
#TXT_SWEET https://t.co/YWx2WM33…",ISFP,sweet concept clip surrender
35,35,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit_jp: SWEET - Concept Clip 'Surrender'
#BEOMGYU (#범규)

#TOMORROW_X_TOGETHER #투모로우바이투게더 
#TXT 
#TXT_SWEET https://t.co/wldMiFeF…",ISFP,sweet concept clip surrender
36,36,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit_jp: SWEET - Concept Clip 'Surrender'
#YEONJUN (#연준)

#TOMORROW_X_TOGETHER #투모로우바이투게더 
#TXT 
#TXT_SWEET https://t.co/8P209HBc…",ISFP,sweet concept clip surrender
37,37,1422813694350688261,isfp___xrinp_oO,.,"RT @TXT_bighit_jp: SWEET - Concept Clip 'Surrender'
#SOOBIN (#수빈)

#TOMORROW_X_TOGETHER #투모로우바이투게더 
#TXT 
#TXT_SWEET https://t.co/WnkqNPbZl4",ISFP,sweet concept clip surrender
38,38,1657707709767245827,myouiiri,ish | achi day!,"RT @myouiiri: hii i’m looking for interactive moots

new acc but not new to #stantwt #kpoptwt

— # i’m ish, ISFP, she/her 

— ❥ ults ; twic…",ISFP,hii im looking interactive moot new acc new im ish isfp sheher ults twic
39,39,1521750554854281216,kvrvndrr,eli 🐈‍⬛,"Add your MBTI and put 4 characters that have the same type 

buildando la squad isfp https://t.co/tTTmxEWVxh https://t.co/LmJ9axTRa1",ISFP,add mbti put 4 character type buildando la squad isfp
40,40,1488733026951446530,hanjipmunk,ray ⭑⭑⭑⭑⭑,"RT @trxqrei: hello, I'm milo. isfp and a minor! currently new to au twitter and writers community. will also write soon, looking for more f…",ISFP,hello im milo isfp minor currently new au twitter writer community also write soon looking f
41,41,1655987515562799104,jeons_time,🌷min,"RT @rickhoein: . . . 🐰
hi, my name is ari, not new to #kpoptwt,  #stantwt &amp; #anitwt im looking for moots 

 ﹒° 🗯  she/her | 20, aries, isfp…",ISFP,rabbit face hi name ari new amp im looking moot right anger bubble sheher 20 aries isfp
42,42,1477135439324536836,sillysummi,maya 🝮 ☾ | 🧸,"RT @dosiesbbl: [230517 10:15PM] 🦈💭

- ㅋㅋㅋㅋㅋㅋ
- with my twin
- i came to see the flowers
- my twin is an ISFP
- but for me
- she held the sh…",ISFP,230517 1015 pm sharkthought balloon ㅋㅋㅋ twin came see flower twin isfp held sh
43,43,1659086478406995970,akiocxs,aki | lf mutuals,"RT @dandybeom: ミ restarting | day 2 !

&gt;&gt;     hey, i'm trixx ! ☀️     &lt;&lt;

# -  any prns, libra, isfp
# -  looking for interactive kpop moot…",ISFP,ミ restarting day 2 gtgt hey im trixx sun ltlt prns libra isfp looking interactive kpop moot
44,44,1640730154711515142,tinkyiebell,ciya,"RT @kacecu: hELLOO!! i'm kinda new in #studytwt so i’m looking for new mutuals 👩🏻‍⚕️📑 so let's be friends &lt;33 

👤 call me kiel 🤓 (she/her)…",ISFP,helloo im kinda new im looking new mutuals woman health worker light skin tonebookmark tab let friend lt33 bust silhouette call kiel nerd face sheher
45,45,1414571645449080838,Shivams62794213,Shivamsk.bit 🐐,"RT @gabby_world_: 🎨 Gabby Reveal (8) - Raise your AI #NFT 🎨

Full of creativity and a passion for living in the moment, the artistic #ISFP…",ISFP,artist palette gabby reveal 8 raise ai artist palette full creativity passion living moment artistic
46,46,966283840317779968,ItachixVegeta,ITACHI UCHIHA | BitX_Brc20,"RT @gabby_world_: 🎨 Gabby Reveal (8) - Raise your AI #NFT 🎨

Full of creativity and a passion for living in the moment, the artistic #ISFP…",ISFP,artist palette gabby reveal 8 raise ai artist palette full creativity passion living moment artistic
47,47,1067713679771213825,AapaDilip,DilipAapa | Suiswap | Vaissel 🛡️⚔️🚢⚪⚫.bit,"RT @gabby_world_: 🎨 Gabby Reveal (8) - Raise your AI #NFT 🎨

Full of creativity and a passion for living in the moment, the artistic #ISFP…",ISFP,artist palette gabby reveal 8 raise ai artist palette full creativity passion living moment artistic
48,48,728833652268797952,Who_Is_The_God,NemoSwap | Fuelet,"RT @gabby_world_: 🎨 Gabby Reveal (8) - Raise your AI #NFT 🎨

Full of creativity and a passion for living in the moment, the artistic #ISFP…",ISFP,artist palette gabby reveal 8 raise ai artist palette full creativity passion living moment artistic
49,49,1422813694350688261,isfp___xrinp_oO,.,RT @HYBE_MERCH: [Notice] TOMORROW X TOGETHER WORLD TOUR &lt;ACT: SWEET MIRAGE&gt; IN U.S -  Information Regarding On-site Sales of Official Merch…,ISFP,notice tomorrow x together world tour ltact sweet miragegt u information regarding onsite sale official merch
50,50,1343502044410232837,elytrasnetwork,raz 🐋 GREEN GECKOS !!,@vampydwt isfp is mine !!,ISFP,isfp mine
51,51,1331620633726259200,ssefnum,"Ssefnum ON, cek likes. 💚","Chase Atlantic, One Direction. I like to reading many quot motivation, playing music (guitar, drum, and piano), dai… https://t.co/9XGETot5PM",ISFP,chase atlantic one direction like reading many quot motivation playing music guitar drum piano dai
52,52,962055340052262916,imhiraichou,suli | yoohyeon enthusiast✨,"RT @dosiesbbl: [230517 10:15PM] 🦈💭

- ㅋㅋㅋㅋㅋㅋ
- with my twin
- i came to see the flowers
- my twin is an ISFP
- but for me
- she held the sh…",ISFP,230517 1015 pm sharkthought balloon ㅋㅋㅋ twin came see flower twin isfp held sh
53,53,1163019581956341760,YHmongki,뚜뚜랑탕🍒🦉,"RT @dosiesbbl: [230517 10:15PM] 🦈💭

- ㅋㅋㅋㅋㅋㅋ
- with my twin
- i came to see the flowers
- my twin is an ISFP
- but for me
- she held the sh…",ISFP,230517 1015 pm sharkthought balloon ㅋㅋㅋ twin came see flower twin isfp held sh
54,54,1331620633726259200,ssefnum,"Ssefnum ON, cek likes. 💚","hello I'm looking for a friend, i’m an ISFP. i use him as my pfp so if you interested, leave a “hi” or your tmi, i’… https://t.co/dWovGi0rfR",ISFP,hello im looking friend im isfp use pfp interested leave hi tmi
55,55,722946227407613953,fleshsolitude,landree,more isfp twins cause im also one 🫶🏻 https://t.co/5771XGBKfi https://t.co/b1JBUTwprg,ISFP,isfp twin cause im also one light skin tone
56,56,1502646362432847872,d4ria_s0ot26,dari_,"RT @vampireshearts: ➷ day 6 of looking 4 #hsrtwt moots
⭒                caius 15 isfp＇

➲ ⠀⠀ ✶ ⠀⠀ honkai,hsr, genshin,pjsk++     ⁾⁾　⠀

   ⠀…",ISFP,day 6 looking 4 moot caius 15 isfp honkaihsr genshinpjsk
57,57,1358698291656015875,bussyriotz,♱ cat ♱,@namrexic intp istp isfp ive rook like 50 quizzes and always get one of those,ISFP,intp istp isfp ive rook like 50 quiz always get one
