,user_id,user_screen_name,user_name,text,personality_type
0,40490298,Vivi_Cir,Vivicir♠️,"Monday Mental Breakdown of a #Leo ♌️ Rising: my Nail broke 😢🙃
 #ENFP #FashionLover ✨💓🛸 https://t.co/cuK1vgmwbk",ENFP
1,1652690528247648256,nrkrtc,ً,"RT @1gyaon: day 1 🎧

hi! i’m arlea, looking for interactive #moots ! acc is recent but not new to #stantwt #kpoptwt ! new to #kpopbns

♡ sh…",ENFP
2,1541250267261579264,_simplyksn,ً haerin day.,"day 2 [restarting]

hi I'm ally, looking for some interactive moots

♪ not new to #stantwt #kpoptwt
♪ she/her | '08… https://t.co/UWfbMiZXlm",ENFP
3,1562009522654572544,mamihleon,txtfromaya,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP
4,1414394740762550278,namjoonhcrts,ember 🍓 / D-12 UNTIL BDAY!!,"RT @NA0SMI: . . . day ??

hi i'm naomi &amp; i'm looking interactive fil / eng #moots !!

♡ i post using fil / eng 
♡ minor , ENFP 
♡ not new t…",ENFP
5,1037525239704510464,PKook87,"❤️산's Amanda, Misses her 산🥺","RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP
6,1417409723008098308,jslauren_,HAECHAN MY BABY I MISS YOU,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP
7,52661489,uwheetler,𝕦𝕨𝕚𝕖𝕪𝕦𝕝𝕚𝕒𝕟𝕒,"RT @angelxiaodery: in another of wayv and their mbtis: 

🐱🐑 infp ten and intj yangyang who are literal idols: ""there's too many people""
🦕 e…",ENFP
8,1449476081090654209,mochamarichat,MARICHAT MAY,@tlouperfectshot ELLIE IS AN ENFP??? amazing,ENFP
9,1381539504712912896,chanheesredhair,sha,"RT @1gyaon: day 1 🎧

hi! i’m arlea, looking for interactive #moots ! acc is recent but not new to #stantwt #kpoptwt ! new to #kpopbns

♡ sh…",ENFP
10,1407521305960747014,yochiwifey,issa-,"RT @1gyaon: day 1 🎧

hi! i’m arlea, looking for interactive #moots ! acc is recent but not new to #stantwt #kpoptwt ! new to #kpopbns

♡ sh…",ENFP
11,1407521305960747014,yochiwifey,issa-,"RT @lhjelf_: [day 1] 🤍
hii i’m new to #stantwt !! 
i’m ella or eety and my pronouns are she/her. im from france, i’m 14yo and im an enfp !…",ENFP
12,1201514512324517888,prentwt,Pren,INTJ and my closest one is surprisingly an ENFP. https://t.co/kSeApOMMUG,ENFP
13,1426415368206049280,smileyemzeyy,callmevii,"RT @Eunho_com: Can you imagine how chaotic this duo would be...the enfp duo 
#카엘 #엠제이 https://t.co/QpdJl8Rlk0",ENFP
14,1414283374009651201,matlyfaqualcosa,mati mati (percy's version),"add your mbti and put 4 characters that have the same mbti as you!!
 
enfp (campaigner) https://t.co/0vyxm3n7pb https://t.co/iOobG7WF8z",ENFP
15,1426415368206049280,smileyemzeyy,callmevii,"RT @Eunho_com: ENFP DUO 🤍
the art                                                                the artist 
#카엘 #엠제이 https://t.co/0SBoAFP3…",ENFP
16,1641484091848818695,JayChangslay,Q🌷| WHO’s leehan fish?,"I never know anything abt Mbti, I’m an ENFP, so which Mbti is compatible with enfp?? And tell me why I need to know🙏",ENFP
