,user_id,user_screen_name,user_name,text,personality_type
0,1303524469978198016,makirollball,Sabi,add your mbti and 4 characters with the same type. ENTJ https://t.co/0R6tczKYhV https://t.co/2XymdOzQTj,ENTJ
1,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@solitarystage I’m gods most normal ENTJ 1w2,ENTJ
2,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@solitarystage Noel. What’s wrong with being an ENTJ,ENTJ
3,1340245022122397701,melanchoartie,Arthur/Emile K. ☕️ Mercielover666,@TELEP0LE What’s Wrong With Being an ENTJ !,ENTJ
4,1413989205890457601,HIRA_SHIZU,𝐓𝐇𝐄𝐘 𝐂𝐀𝐋𝐋 𝐌𝐄 𝐇𝐈𝐑𝐀 𒉭,@noandany I only have esfp and infp friends and I really want to have entj and intp friends (specially intps),ENTJ
5,56722736,carlyinNJ,🧡Carly Says Things Be💗Kind ❇💚🌍 #JusticeMatters,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ
6,1397781122507968514,mithakyunai,Mithakyunai | Limited,"RT @gabby_world_: 🎨 Gabby Reveal (1) - Raise your AI #NFT to become INTJ &amp; ENTJ🎨

""Bringing brains and brawn to the table, the savvy #INTJ…",ENTJ
7,138490213,pinnpoint,pinnpoint,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ
8,17628336,thebenreynolds,Ben Reynolds,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ
9,17630915,drewloewe,Drew M. Loewe #GoHawks,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ
10,16662512,michaelluongo,michaelluongo,"RT @mcsweeneys: ""ENTJ: “The Opportunist” – Instead of taking the test, you’ll give a TED talk explaining why the test is bullshit. After it…",ENTJ
