,user_id,user_screen_name,user_name,text,personality_type
0,1414280319465885696,neteyawntu,liana.com,"add your mbti and add four characters that have the same mbti as you.

ENTP https://t.co/XUXi4102Uq https://t.co/Dhnbo7ZnCJ",ENTP
1,1246105934826336256,lvffyasce,cey,"add your MBTI and put 4 characters that have the same type

ENTP https://t.co/08TVaepnMu https://t.co/GXrXMEsTuf",ENTP
2,1637758335486132224,vinribbon,vin 💫 VNC COMEBACK,"Vanitas because I’m entp, I have trust, adhd and a developing personality disorder https://t.co/erAO3e3RjU",ENTP
3,1650468001756614656,Sneha_117,Snehanjali Panigrahy,@Ripudaman919 Hence INFJ &amp; INTJ make good friendships due to similarity and INFJ &amp; ENTP make good partnerships due to complementary nature.,ENTP
4,1650468001756614656,Sneha_117,Snehanjali Panigrahy,"@Ripudaman919 See this comparison.
INFJ &amp; INTJ share same Ni, same view of world, same weakness(Se). INFJ Fe helps… https://t.co/fVNG6HMZ0L",ENTP
5,1309194522014908419,Kae910_,🧷KaeƸ̵̡⁠Ӝ̵̨̄⁠Ʒ Documental de mi decadencia mental,"RT @http_nxng: ❥๑━━━━━━━━━━━๑❥   
  Hello to all!
  • Luca or Sunny 
    •I play idv (ask for my id) 
    •18 old
     •ENTP
   •I'm a cosp…",ENTP
6,1355268729152577537,Netty_yeager,Netty | yeager.eth,"@ENSTradingPost GM ENTP, good to see you back!

Hallucinogens.eth - 0.99

UltimatePoker.eth - 0.5

ResumeHelp.eth - 0.35",ENTP
7,1361494376388595715,jenhhsi,ً,"hi, i’m yze ✩°｡⋆⸜ 🎧

— 15, he / them, filo, ambivert, ENTP. 
— https://t.co/Uw9MRaK7S4 https://t.co/SjxVm0FeZH",ENTP
8,1430708542911225857,sooboots,Bella Hadid,@cuntresslee i think ur entp bcz u dont gaf,ENTP
9,1430708542911225857,sooboots,Bella Hadid,@cuntresslee i am entp,ENTP
10,1222305103824277504,ara_monique5,𝓐𝓇𝒶 𝓜𝑜𝓃𝒾𝓆𝓊𝑒 🏹🏛,"add your mbti and add four characters that have the same mbti as you.

ENTP https://t.co/MEdx6Zer8P https://t.co/MMOoCPqb6l",ENTP
11,1530085527034408960,aroshizue,keris ☆,reply under this tweet tama pics cause i really need more female entp characters,ENTP
12,1530085527034408960,aroshizue,keris ☆,"entp… 

pdb says akira is an entp but i don’t get the vibe 

i’m too lazy to search up stuff and new images so i’m… https://t.co/eXwfdW3Syr",ENTP
13,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"¯\_(ツ)_/¯ do you:
a. forgive 
b. forget 
c. cut off 
d. depends ?

#16personalities #mbtimemes #personality #INFP… https://t.co/QkxMAm5VEF",ENTP
14,1275430816500203522,ayatosbobamilk,deb ⟡,@karaeiken is this entp behaviour,ENTP
15,1256338589979480064,edgarnumber1fan,nez || ຽ( ⊗ ‸ ⊗ ) ♡ (`⊗﹁◓´),"RT @http_nxng: ❥๑━━━━━━━━━━━๑❥   
  Hello to all!
  • Luca or Sunny 
    •I play idv (ask for my id) 
    •18 old
     •ENTP
   •I'm a cosp…",ENTP
16,1496111695474868225,akafuuji,𝙁𝙐𝙐𝙅𝙄 !!,"#anitwt  #genshintwt #hsrtwt
 hi ! looking for moots/friends !! 💛

⁠→ she/her | 17 | entp 
⁠→ gi, hsr, jjk, fruba,… https://t.co/zU7VRajlV4",ENTP
17,1278382471,QueenSacrier,⭒Anwen de apellido Insoportable⭒,"Add your mbti and put 4 characters that have the same mbti as you 😎

Entp

Los que más me representan xdd… https://t.co/MdiYK0aUzE",ENTP
18,1537071237309947906,flavo_occidens,Linyaw,"ak ijin qrt yah hwhsw

Add your MBTI and put 4 characters that have the same type

ENTP ngueng… https://t.co/4cU5BYDjtb",ENTP
19,1625099719709007873,karaeiken,hyoga defender,@ayatosbobamilk no wonder ur entp,ENTP
20,1618196422335107074,ZOM6lE,(´⊗ゝ⊗`),"RT @http_nxng: ❥๑━━━━━━━━━━━๑❥   
  Hello to all!
  • Luca or Sunny 
    •I play idv (ask for my id) 
    •18 old
     •ENTP
   •I'm a cosp…",ENTP
21,1636013837127413760,sambokzDNI,☆,"hello, i’m jj. i want make more interactive mutuals &lt;3

- any prns, 07, entp!
- not new to kpoptwt
- looking for ze… https://t.co/Ta2u0KS3tW",ENTP
22,1528751979698311168,entp_lys,Polaris ☆,RT @dumbifieddoll: I'm such a whore for nice voices I can't,ENTP
23,1297614658074021893,lxcherryy,devilish lucy,add ur mbti and put 4 characters that have the same mbti: ENTP 🥸👍🏻 https://t.co/nIcyVeOqPs https://t.co/SLf911XfGt,ENTP
24,1152429490498179072,niaciqda,"donquixote, lili.","add your MBTI and put 4 characters that have the same type

im an ENTP🔥 https://t.co/E6otF7byER https://t.co/olkCFjDzOi",ENTP
25,1612999616991039491,poruppii,BEAU (^з^)-☆,How to find out if im ENFP or ENTP tutorial,ENTP
26,1345098334252490755,Dicegoblin_E,Dice Goblin Entertainment,"Add your MBTI and put 4 characters that have the same MBTI as you!

ENTP. It's kinda hard to find women characters… https://t.co/ztvrjKdIqC",ENTP
27,766929916390703105,_ander_k,ᅠ ᅠᅠ,"This might be literally me ❗❗
ENTP https://t.co/t5fMrJ0T8U https://t.co/fKRQCuepjI",ENTP
28,1377802218020220934,2_entp,Ultra MAGA-ENTP_MBA,@Rabidcow1 @cathyje17960218 The Biden administration thinks that we're stupid!... And we are!!!,ENTP
29,1331348780864696322,sangokakutrees,sitara hates thua !! 🌺,"entp - out of all 8 cognitive functions, here are your top 4 strongest !! https://t.co/Idu6N29Eqr",ENTP
30,1625565306134441984,skipllllll,sato,"add ur mbti and put 4 characters with the same type: 
 
Entp https://t.co/eI2LCaSZgN https://t.co/k8mBBjiFLF",ENTP
31,1250154134608674824,cephalopodashi,kishi 𐂠 pass me the yuri,@rekomode ur actually islamophobic racist mysognistic transphobic homophobic xenophobic ableist and entp,ENTP
32,1343257160411738113,NEWTSTARS,Tommy/Nicky ⚣,"add your mbti and put four characters that have the same mbti as you

ENTP :&gt; https://t.co/OoL5jQSbs0 https://t.co/6TkT1mHPfT",ENTP
33,1528664535363485696,llovebbom,kHAIRA ??!?!!!? ✩___✰,"RT @alealetaa: hai hai i’m ale! baru aktifin akun lagii, soo lets be moots! 

about me
✿⁠  08L
✿⁠ 9th grade
✿⁠ entp 🧘🏻‍♀️
let's be friends…",ENTP
34,1382277015269634051,mikorin003,miko 🐑 kinda ia,"add your MBTI and put 4 characters that have the same type

Entp https://t.co/MptOeweXNS https://t.co/v4NFdmrZyK",ENTP
35,305989513,relativeread,edson.eth,@alenaxbt What's your personality type? ENTP?,ENTP
36,1406953341192712192,HodlsSherlock,The Bitcoin Dudeist ⚡️,@niftynei Perhaps the worst part about it is that the other traits can amplify N significantly.  As an ENTP/J I oft… https://t.co/pj7xyJ7e8U,ENTP
37,1528751979698311168,entp_lys,Polaris ☆,"RT @hourlykuroo: SHAKING CRYING GAGGING CHOKING FAINTING VOMITING ALL -INGS POSSIBLE 

IM DEVASTATED https://t.co/79YlS33k4h",ENTP
38,1528751979698311168,entp_lys,Polaris ☆,RT @keigohero: Hawks with THE jacket again haha https://t.co/TxiCJUbzGI,ENTP
39,1496121495394799618,alberiarty,Zuha,"((Relate sama keempat ini dengan mood entpnya))

Oke, add your mbti and put 4 characters that have the same type.… https://t.co/kxAVOcnRaE",ENTP
