,user_id,user_screen_name,user_name,text,personality_type
0,1474887642886012929,spideydjo,stevie,@steebdeeby OH? we do? 👀 i’ve done the test multiple times and i’ve gotten enfp and estp i think but i did it twice… https://t.co/H4LgZnOnty,ESTP
1,1559510827950030848,_GEKK0U,rory 🌕 d5,haters mad bc im estp,ESTP
2,1138299293658492929,J00NSAT7RN,hannah⁷ SAW AGUST D x2 🥢,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
3,1544552012490088449,thatlemmon,Lemmon★★★★★DM LIMIT,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
4,1011100897315733504,mbtitime,MJ ☻ Jungian Onion,"¯\_(ツ)_/¯ do you:
a. forgive 
b. forget 
c. cut off 
d. depends ?

#16personalities #mbtimemes #personality #INFP… https://t.co/QkxMAm5VEF",ESTP
5,1437315801657208839,marziethepan,❧ marzie,"RT @bubblybreezyy: #ESTP redesign ☀️😎🎆🎇

#estp #mbtiart #mbtifanart #mbti #MBTI #16p #16Personalities https://t.co/4aeHtOuGKw",ESTP
6,1462627742051192836,lachimonaraa,lauren loves kayden,"add your mbti and put four characters that have the same mbti as you

estp

SEE I HAPPEN TO BE REALLY FUCKED UP… https://t.co/gqs8m6ztCV",ESTP
7,1634112240386453504,ilovemongmong,rinn ! ♡ lf moots,"RT @kimseungminonly: day 11 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
8,1550835888414158848,jnrixs,rxs || finding moots,"RT @kreziuiu: hii, I'm krez. looking for friendly and interactive moots!! 

--filo, estp, minor
--au writer minsan (@reiuiuiu), panggulo ma…",ESTP
9,1490860041435774976,jyubeiaryuu,L kampretudin.,"add your MBTI and put 4 characters that have the same type

sy ESTP apa nama julukannya aowkwowk.… https://t.co/ClM6jQxy8f",ESTP
10,1395952028417884163,foxietaru,El-Nath🦊,"Add your MBTI and put 4 characters that have the same type

I'm ESTP https://t.co/LIEnwxPFPC https://t.co/1KBwSQ6kUF",ESTP
11,1331348780864696322,sangokakutrees,sitara hates thua !! 🌺,"estp - out of all 8 cognitive functions, here are your top 4 strongest !! https://t.co/Nud7T022vs",ESTP
12,1241348781288742912,bukanxace,jiken,"add your MBTI and put 4 characters that have the same type

ESTP here☝️ https://t.co/40nUW5Ea2H https://t.co/ft5d7BgJ71",ESTP
13,1654639424905310209,hyeelliee,gabiru,"Add your mbti and put 4 characters that have the same mbti as you!   

ESTP https://t.co/Y5qoKLmto8 https://t.co/t7s2vMOjby",ESTP
14,1413447735768801287,kreziuiu,krez : ia madalas,"hii, I'm krez. looking for friendly and interactive moots!! 

--filo, estp, minor
--au writer minsan (@reiuiuiu), p… https://t.co/zSIaVlsL2F",ESTP
15,1507108494171910153,kshcharm,sil ☕️,@redmyeonnie yeaah we’re no longer twinning on that skdkd i got turned into a cursed estp 😭🫂,ESTP
16,1308577326,AnaLuiz98216469,7,"RT @ahyeonpics: name: jung ahyeon (#정아현) 🇰🇷
birthday: 11th april 2007
positions: vocalist, dancer and rapper
mbti: ESTP

she has been train…",ESTP
17,1626933515119112192,hvnptrk,scarlet ✮ HAERIN & SEUNGHEON DAY !!,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
18,1645707259014680576,mariocartwheels,ur favorite bamtori | closed.,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
19,1387317317424406536,fettstea,shann 🌿 waiting for tbobf s2,@Profokiev Infp believe in nothing but estp is all about fun,ESTP
20,1407745946750832641,gabut_mang,NDRyyyyyyyy,"add your MBTI and put 4 characters that have the same type

ESTP ✌️✌️ https://t.co/L0z5V01RQ1 https://t.co/JRLExyOsb2",ESTP
21,1466260479752359938,jonghomallow,sushi,"RT @kimseungminonly: day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
22,1312063193532030977,kimseungminonly,seungmins bf ★⁵,"day 12 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once… https://t.co/3riao9xz9t",ESTP
23,1478970358329856000,vconnection_,zan \V/ stream tag tag tag or i boil ur nails,"RT @kimseungminonly: day 11 of looking for interactive moots!!
-kaden, he/him, estp
-mainly bg stan. im a: stay, p1ece, lyOn, army, once, e…",ESTP
24,1386427635123773441,maria_estp,𝖬,need love,ESTP
