,user_id,user_screen_name,user_name,text,personality_type
0,1349608913205772294,_kikiyay,Yaya,Kkkk ISTP like the total opposite of INFJ and thinking the target audience is koreans who believe in mbti system...… https://t.co/IupAIcdVjQ,INFJ
1,1462148699547656192,TheHalleysystem,Lucifer's child,"RT @TakeshiKovac69: ✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : death…",INFJ
2,2886723798,zeandipity,zea.,@ssefnum i see wjsn and i click! a hello dari infj 👋🤧,INFJ
3,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"RT @TakeshiKovac69: ✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : death…",INFJ
4,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"✩°｡⋆⸜★
Hi ~
finding friends 🖤

★  the name is takeshi 🪐
꩜ : he/him, infj 
★ : 22, Pisces ♓
꩜ : AR 24 Genshin 
★ : d… https://t.co/oTyMTssfKV",INFJ
5,1490071764839370753,ESCAttitude,Eurovision with Kristina,"@grace_is_sugoi Bestie, I'm also infj and lavender 🌺🌹",INFJ
6,1217659017306075136,tyunslullaby,•⁵아라⁷• 🌙🕊️,RT @aneduketet: @txt_introvert one thing about infj is that we know. we somehow always know what was not supposed to be known. we be making…,INFJ
7,3181154820,gureum516,☁️ odorable 🎶 feeling wonderful 🥰,RT @ovationprod: Fun Fact: Did you know Jaehyun is the only extrovert in the unit? He is an ESFP while Doyoung and Jungwoo are an ISFJ and…,INFJ
8,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn and if INFJ will share with you then you are good. As INFP this will usual… https://t.co/T1yKWyhw0W,INFJ
9,1188906293257478145,viinterchild,miki⁷🌻,"@daegu_AD but who is the sunflower ???

infj = rose
? = sunflower",INFJ
10,41188903,minordissent,Max 58K,@BowTiedDoe @artemis_458 @redhandsofdawn ISFJ often like concepts &amp; learning but they do not see concepts and actio… https://t.co/8gi6tnEV0J,INFJ
