,user_id,user_screen_name,user_name,text,personality_type
0,1468624226706137089,malibusnina,vera,sorry for  being cynical im an istj,ISTJ
1,715672402127007744,RuizSoriano16,Kimberly ♡'s 산 ⩜⃝ | saw ATEEZ on 01/27 & 11/16,"RT @csmflmz: infp: emotional leaders, idealistic, responsible 
istj – organized people and tend to finish what they started 
intp – critica…",ISTJ
2,1405180005571723266,felixbbaby,luna ☆ ongoing g.o 🇲🇾,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
3,829772457015861248,stqrkthor,ashley saw skz !! ★⁵,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
4,1411685776568504321,btskzer_,Jai⁷⁺⁸★⁵,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
5,533141190,CH4NSC0LL4R_,shaz🏳️‍🌈★★★★★ (🐺🐰’s ult fan),"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
6,222327645,sidneyalesandra,Sidney,Other site hermione is istj but this one the istj is percy weasley 😄 https://t.co/96z6SBvcB9,ISTJ
7,1475132580181774347,Anonymous_25120,Anon ★★★★★,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
8,1262301289091751937,AashiArmy7,Aashika ♡ Leeknow ★⁵,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
9,934906195,cherriesbubble,cherries♡,RT @510HUNTER_: hunter used to be ISTP but after retaking the test he’s now ISTJ https://t.co/LIIk5gAUQM,ISTJ
10,1595084019389145088,meowracha_z,Zari adores Chan ‎ ★⁵,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
11,535959378,jessyfreak_,GO STREAM 'IN LIFE'!! 🐰💜🍮,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
12,1361174780200841216,wayvishon,화성 - 세븐어스 • ˚₊‧꒰ა ☆ ໒꒱ ‧₊˚,@ahngyeongjun hmmmm it’s been a while but istj,ISTJ
13,1571679626732408832,kissaus,ִֶָ,"apparently, i read somewhere that ISTJ is one of the rare personality types someone can have 

also, i like the nam… https://t.co/7twjbDXBn2",ISTJ
14,1610566461206003713,hans_leftnipple,Lu ⋆｡° // Han’s Left Nipple //,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
15,1574065794606039040,seolar08,☁️ Clxud.b08 ☁️,"Hii I'm Clxud.b♡

♡ looking for stay moots! But any Fandom is fine! 
♡ 03', she/her, ISTJ, Leo
♡ ults = skz, wayv,… https://t.co/ZyeunBdR3X",ISTJ
16,1594620207385006086,_yujirou_stay_,Yujirou★★★★★,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
17,1483984782459478016,filmbyino,َ니낮 !! ia,"RT @_ksnlovre: Hi! I’m Reg and I'm looking for interactive moots! 

♡ she/her 
♡ istj, 06 liners 
♡ not new to #kpoptwt, #stantwt
♡ looking…",ISTJ
18,1638736221961854976,ikuelatte,Kash; ia bcoz of school,"RT @_ksnlovre: Hi! I’m Reg and I'm looking for interactive moots! 

♡ she/her 
♡ istj, 06 liners 
♡ not new to #kpoptwt, #stantwt
♡ looking…",ISTJ
19,1561345522421866496,jisungs_noona,Venety ★★★★★,"RT @etherealcb97: hiii i‘m looking for stay moots but any fandom is fine!! 

☆ ‘01, she/her, istj
☆ ults: skz, ateez, monsta x 
☆ european…",ISTJ
20,1027690367951486983,lomljeongins,kate 🦥,do i have any istj mootss,ISTJ
21,1650059591957512192,nixsfcs,tala,"RT @_ksnlovre: Hi! I’m Reg and I'm looking for interactive moots! 

♡ she/her 
♡ istj, 06 liners 
♡ not new to #kpoptwt, #stantwt
♡ looking…",ISTJ
