,user_id,user_screen_name,user_name,sentences,personality_type
0,1102141776712753152,artsodef,Melvic - OFF,['estj peep hottest wbk'],ESTJ
1,1179404854474596352,yungvamps,interesting critter 🐛,['add mbti put 4 character mbti cheated added istj estj'],ESTJ
2,1160372764123025409,reybeann,reybeann,['wait might estj opposite used test infp think younger self infp im opposite thinking face maybe idk'],ESTJ
3,1278830390933958658,LisaRose_Brown,lisa-rose / circus lover,['add mbti put 4 character mbti estj'],ESTJ
4,1163185955685183489,pagesofvelaris,Elijah 🍈 Ruhns 4th thing,['add mbti put 4 character mbti estj'],ESTJ
5,1297394482980089857,SourabhStephen,stephen | stephenwolf.bnb | Suiswap .bit 🐐 🌊📘⚪⚫,['artist palette gabby reveal 6 raise ai artist palette reliable responsible practical efficient ulti'],ESTJ
6,1427642383383019537,Hameedmoyal1,"Hameedmoyal.| Fuelet Free, Own🧟‍♂️",['artist palette gabby reveal 6 raise ai artist palette reliable responsible practical efficient ulti'],ESTJ
7,1603320558103408641,Megurians,Juvelian.,['im estj latest mbti tend softdom talking honestly furthermore im'],ESTJ
8,986227506096164864,troyesdemigods,vrash #1 cardan defender brina's bday!! 💌,['see estj n esfp dumbass woman facepalming medium skin tone'],ESTJ
9,1160587799759900673,charlestierling,𝐂.,['add mbti put 4 character mbti estj'],ESTJ
10,1265470302084984832,juunmyen,riii,['050623 exol ace update mbti estj exol thank always today gt_lt bgm exo mama lucky number'],ESTJ
11,1558594816232984576,ranitakahashi,Rara,['esfp surprisingly closest one mostly estjface tear joy'],ESTJ
12,1430611223280816131,Vityokboyc,Vityok,['artist palette gabby reveal 6 raise ai artist palette reliable responsible practical efficient ulti'],ESTJ
13,1425890976913149958,mionewaist,‎ً,['im always get either intj estj'],ESTJ
14,1486550647482818560,Whos_chloeee,Chloee 🐛💛,['always get 5050 estj estp sooo estp medium skin tone'],ESTJ
15,1486550647482818560,Whos_chloeee,Chloee 🐛💛,['add mbti put 4 character mbti estj nail polish medium skin tone'],ESTJ
16,1542324942422917123,bingnemai,vinicius. 📖: kill switch,['add mbti put 4 character mbti estj'],ESTJ
17,1334607876481032195,GenniferwithaG_,Gennifer Harding-Gosnell,['sorry estj let everyone jump cliff even step way'],ESTJ
18,1650321467609939970,iiiJK9_,A,['add ur mbti put 4 character type estj'],ESTJ
19,1305232298888122370,annvbth,‏ً,['add mbti put 4 character mbti estj'],ESTJ
20,262795624,PersonalityHack,Personality Hacker,['full ep 481 estj career subtypes develop nurture'],ESTJ
21,3094292574,Saiparnparkbyun,SuAmin❄️ ᵇᵃᵐᵇⁱ 'ㅅ',['spade suit exol club baekhyuns page kyoong puppy mbti estj exol thank always today gt_lt luc'],ESTJ
22,1488455245193949184,azumirye,azumi,['looking interactive mootsfriends im azumi sheher estj 14 yr old'],ESTJ
23,1448988902858149890,dalisayjmn_,𝔽𝔸ℂ𝔼 ⁰³.²⁴🪞JIMIN #1 BB100 ARTIST dm limit,['ooh right right memory serf estj make sense tyy'],ESTJ
24,126564423,daisiespjm,ira⁷ saw jimin and yoongi live ☽‧͙⭒| Angel 🪽,['saw estp changed estj'],ESTJ
25,986227506096164864,troyesdemigods,vrash #1 cardan defender brina's bday!! 💌,['another estj thats right'],ESTJ
26,1448988902858149890,dalisayjmn_,𝔽𝔸ℂ𝔼 ⁰³.²⁴🪞JIMIN #1 BB100 ARTIST dm limit,['whats jimin mbti estp estj c estj make sm sense think changed estp estj'],ESTJ
27,1376138354622832644,lanhzhou,jen,['im freshly new estj'],ESTJ
28,1253673304814088195,barababala,Bara,['entj estj grow wrinkle every second watching skzcode skztalker rolling floor laughing'],ESTJ
29,1273633917111697408,zenimakin,meg,['add mbti put 4 character mbti estj nation couple questionable cha'],ESTJ
30,1344673010284855297,Ddeonu2422,#Suunoo☀️,['jungwons mbti changed estj istj pleading face complete opposite sunoos according jungwon complete opposite'],ESTJ
31,1090024470125965312,howdyhd,howdy,['took test shit giggle went infp coveted special boy infj read descri'],ESTJ
32,1253285245681496064,BlaxX_1110,🚫,['mbti doodlessparkles'],ESTJ
33,1110281217251909632,er1oly,minyu,['add mbti amp 4 character mbti estj'],ESTJ
34,1622458997805834242,fieryravenette,Aʀɪᴀ M. Mᴏɴᴛɢᴏᴍᴇʀʏ,['kingdom flourishing animal brink extinction maybe im abstract good f'],ESTJ
35,848217593395785729,Skeshy24,Oré,['add ur mbti put 4 character type estj'],ESTJ
36,892490446135476224,mushioguri,LEO (｡•̀ᴗ-)✧ #1 sigzai defender,['every time see estj lse so368 rloei im like aware'],ESTJ
37,1357780554679087104,TND_XIX,🏴󠁧󠁢󠁳󠁣󠁴󠁿 ✠ TND ✠ 🇦🇹,['add ur mbti put 4 character type estj'],ESTJ
38,1302059852772990976,irusakita,♡harvey🧍‍♀️,['found tiktok im concern im estj day day'],ESTJ
