,user_id,user_screen_name,user_name,sentences,personality_type
0,1509146459165245441,ramyeonzzn__,eli ☆,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
1,1570247220691357697,jewberri,luen 🧚🏻‍♀️ yes baby (ia),['hi im ej gtlt sheher infp minor filo new lf interactive filo nctzen moot thx muchhh raising hand'],INFP
2,1462148699547656192,TheHalleysystem,Lucifer's child,['helloo im new im lookin new moot amp study buddy ___ call lala'],INFP
3,1337838841709867008,hehetpyeongie,roms ★⁵ ATZ GO PINNED,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
4,1584630888209555456,Nani_INFP,Na-ni_INFP🌙 Binnie I will remember you 💜,['candy sugar pop tell take tonight ill take end universe light filled around yo'],INFP
5,1466260479752359938,jonghomallow,sushi,['day 2 hi im cielle im looking interactive moot im also new infp sheher'],INFP
6,1466260479752359938,jonghomallow,sushi,['hii im hayley im looking interactive moot оо sheher 06 chinese infpintpt n'],INFP
7,1408835789069295616,tyongiehyung,eyem,['abhor infp im infp core'],INFP
8,767504623,shir0ihebi,kool kat,['add mbti put 4 character mbti infp mending heart'],INFP
9,1657023150083780611,cakielle,elle ✧･ﾟ: *,['annyeonghasibnikka tzu looking new buddiesmoots 05 college freshman'],INFP
10,1375945250385104897,TurnBackLime,Zion,['add mbti put four character mbti infp'],INFP
11,1557867038814572545,hyunmo_moring,MOMORING★⁵,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
12,1526442108881879041,fleurdebae,el,['add mbti put 4 character mbti infp raised fist'],INFP
13,1600906360866017281,jwnzby,ً,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
14,1467410950131105792,choimfs,ً,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
15,1654894629651873793,hooniebaem,rei of sunshine,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
16,1545492396569411585,A_katiny_Z,ⓀⒶⓉⒾⓃⓎ | MOONBIN🕊 | Waiting WONHO🥺 | OX✨| RAVN🌹,['add ur mbti put 4 character mbti infpvictory hand light skin tone'],INFP
17,1467410950131105792,choimfs,ً,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
18,1656046258593644559,qtaisuu,ً,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
19,1656046258593644559,qtaisuu,ً,['restarting ๑ hi im chane sheher infp looking interactive kpop moot mainly'],INFP
20,1521523858477518849,phuwitangnih,Yesane || akun flop ini di fb ya,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
21,1405726411185299460,naoranyag,nao | au recos 📌,['hello name kyleen call kyle im looking teume moot fandom fine'],INFP
22,1645079722567630848,qtsoobn,kie,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
23,921327785049841666,batnations,nico / zaynah 🗡️,['real real im infp'],INFP
24,1166312624511832064,paigenotfound__,paige | ★★★★★,['hi guy im paige multi stan im looking moot love group bit'],INFP
25,1566476875551182851,redhigan_hana,cali,['im also infp didnt know thatloudly cry face read book knowing'],INFP
26,1483326257115070470,kvriefiles,rie,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
27,1510258246459998213,YENLIVIAHYEs,vira waiting for hyeju IG 🐣🐺🌕,['redflag infp bcs every time youre fastest like became celebrity attract girl'],INFP
28,1406637831485677568,gyupolaris,jel. restarting,['hi im kleo im looking interactive moot filo 09 liner infp looking engene fandom tho'],INFP
29,1280051457438494720,RRopelius,Resting Witchface 🌸,['ive done lot time different point life always get result infp'],INFP
30,1342563193735028743,__headandheart,𝒑𝒔𝒊𝒒𝒖𝒆.,['𝓙 𝐔 𝐏 𝐈 𝐓 𝐄 𝐑 𝐒 ㅤㅤㅤ𝘀𝗽𝗲𝗰𝗶𝗮𝗹 𝗽𝗹𝗮𝗰𝗲 ㅤㅤㅤ best 𝐛𝐞𝐥𝐢𝐞𝐯𝐞 im ㅤㅤㅤ still 𝒃𝒆𝒋𝒆𝒘𝒆𝒍𝒆𝒅 infp libr'],INFP
31,1657513081671491587,yunakissr,feli | limited :(,['wanted make new 𖦹 restarting looking call marie ᶻ 𝗓 𐰁 sheher infp 0'],INFP
32,1655987515562799104,jeons_time,🤎min | Ji-eun Day,['hi im cielle im looking interactive moot im also new infp sheher ults ar'],INFP
33,1502646362432847872,d4ria_s0ot26,dari_,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon fa'],INFP
34,1354268539096502274,poutylhc,key ˙Ⱉ˙ฅ,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
35,1491614777268834306,svcellie,ؘؘ,['day 2 hi im cielle im looking interactive moot im also new infp sh'],INFP
36,1228483086163173376,hjvisual,ً aica✰⁵ studying!,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
37,1656624342984454146,hyeinhyeinnnn,nyyy || lf moots || at class,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
38,1656656954662731785,hyunejsm,ry. ★⁵ ; studying,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
39,1389712965604102146,mintakyy,Beau✨Intak’s wifey💖,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
40,1482175201412407301,ayatarch1ve,ayat,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
41,1639956852250398721,teajusmelatiy,lala,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
42,1403731483731267586,snjdee,Jaydee,['୨୧ ୨୧ looking interactive moot 07 linerinfp bi gg enthusiast amp multistan'],INFP
43,1528298542351036416,snooyjn,sei | lf bns moots,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
44,1650448553742073857,PSHVEL0,aji,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
45,1075114906335232000,s_oulp_1h,ᴀ𝐛𝚒⁷𖧵⁵🎸| #ᴇarthᴍix ; follow limit,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
46,1283362902997561345,minbagel,bagel¹² | busy,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
47,1740790404,Infp_Ace,Nick ♏🎭🧢 #UBI,['shit fell asleep woken dream im face tear joy'],INFP
48,1453133870719586304,ksnflict_,ًrc | studying 🫡,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
49,1651097246627409920,lilboonies,sia,['helloo im new im lookin new moot amp study buddy ___ call lala'],INFP
50,1466240091169619976,YJHJ0RJAS,ًalexis ; stream super,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
51,1650059288180826112,pjs_cl,Clea,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
52,1628302109182693376,attenhyun,aile,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
53,1569904688862220288,by_alvriana,lily,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
54,943733358428807168,N3TY4M,Emil ama a Neteyam |,['add mbti add four character mbti infp 4w5'],INFP
55,1187415773364535296,hororohong,jenny 🍰 OUTLAW OUT 6/17,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
56,1298816824360882177,alleyesonkyu,six🫧,['hello name kyleen call kyle im looking teume moot fandom fine'],INFP
57,1509343595559473155,ausofyaroox_,yaroox ; lf moots,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
58,1588743347975630848,lriaove,ri | dml hahaha,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
59,3356370974,ezquitez,ǝɟǝɟ,['el dilema de ser una lesbiana infp soñé con alguien q conozco n best sex encounter ive ever'],INFP
60,1634643184495243265,lavnrdelkey_,sky,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
61,2443337136,AidenHeung,Aiden Heung/艾登,['look like im roughly infp except e homies face blowing kiss'],INFP
62,1368892709490978820,arbzenxyy,elf/ar⁷¹¹,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
63,1650397202626519041,1gyaon,arlea,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
64,2196195401,softlydrunk,amanda.,['yeah infp e5 u'],INFP
65,1616672367488675840,EavesStrawberry,𝒈𝒊𝒔 saw gotg3 x3 🫧,['add mbti put four character mbti infp random'],INFP
66,1636574833637990400,jeyiluvr,ely ♡’s 제이,['ye need e j balance introversion sensitivity lack planning skill im'],INFP
67,575950351,marsmellowl47,Mars G ⚡ ATZ CB 16/6,['introducing ateez introvert line'],INFP
68,1658309255999655936,st4rlilies,adi ❄️,['hi im adi new anitwt looking fresh start looking filo moot gtlt adi 16 infp p'],INFP
69,1185199060854030337,infp_bi,uwu,['oh juliana canfield actress'],INFP
70,1185199060854030337,infp_bi,uwu,['line maybe poison drip ken say discussion w shiv towards end episode haunt'],INFP
71,1541797387085266947,igetcarriedawy,Carrie • Join me on Discord 💥,['im also infp lol site use find though'],INFP
72,1185199060854030337,infp_bi,uwu,['shiv remember never late beat as'],INFP
73,1185199060854030337,infp_bi,uwu,['like hit hit'],INFP
74,1185199060854030337,infp_bi,uwu,['rooting literally woman kendall know get fully free familybusiness'],INFP
75,1354095204521787392,myjaemle,(ﾐዎ ﻌ ዎﾐ)ﾉ,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
76,1185199060854030337,infp_bi,uwu,['girl looked like id kill guess im real man'],INFP
77,1185199060854030337,infp_bi,uwu,['definition white man failing upwards partied drug loser one evening enough'],INFP
78,1469367301296340998,puzzIeking,BEEPBOOP! is bepnbyte | YIPPE |,['pretty cool'],INFP
79,1575123010800992257,kiraharus,vivi 🪼 | missing polyjump and polysho,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon fa'],INFP
80,1562875001656983554,rorysaysthings,Rory/Finn | back in pjsktwt arc,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon fa'],INFP
81,1519698855608131584,infp_norah,♡ norah!! ♡| #cancelpercy | #ANDAMOVIE,['think byers dream look like'],INFP
82,1547659752913510400,pjskmoots,ؘ,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon fa'],INFP
83,1185199060854030337,infp_bi,uwu,['tom manages surpass threshold nasty thing say shiv every episode watch peopl'],INFP
84,1185199060854030337,infp_bi,uwu,['roman saying nothing matter ken tell sophie pushed kinda sickening watch like yeah part'],INFP
85,1630021190742945792,fanixxie,fnny,['𖣠 buscando mutals 𖣠 06 liner infp busco mutuals q interactuen chanin biased new'],INFP
86,1651195871164522498,_msachie,chi,['hi kaizel new pls kind smiling face hearteyes theythem infp filoeng'],INFP
87,1185199060854030337,infp_bi,uwu,['duality man'],INFP
88,1655784909259280384,kkhiann_,khian || lf moots,['wanted make new 𖦹 restarting looking call marie ᶻ 𝗓 𐰁 sheher infp 0'],INFP
89,1342466287566344193,kaitaro_oo,kairo,['hii looking friend amp moot im hsm 14 homoflexible v chaotic infp libra'],INFP
90,1412763488070537216,aismatsuno,Ai’s. ʕ•ᴥ•ʔ lvs Aya,['hii looking friend amp moot im hsm 14 homoflexible v chaotic infp libra'],INFP
91,1608675313525096450,namintsi,ًon limit.,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
92,1185199060854030337,infp_bi,uwu,['way talked shiv namely roman actually filled rage though like consistently ignoring calling'],INFP
93,1185199060854030337,infp_bi,uwu,['still cant believe tom said shiv sorta killed logan probably annoying logan death literally'],INFP
94,1185199060854030337,infp_bi,uwu,['succession ep might best yet watched last week stayed 2 something'],INFP
95,901917569782865921,myasianrice,briana,['intpinfp fluxuates infp recently'],INFP
96,1011756170,taylorcurl1,taylor (tv) 💜 eras tour 7/14,['infp top 3 speak red tv reputation'],INFP
97,1278147105656365057,biisexualgodd,Swaggy person👾,['add mbti put four character mbti infp party popper'],INFP
98,1558690286079193090,wewhowon,risa,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
99,1549235931726708736,redhandsofdawn,rach 🪷,['one thing frank james ob'],INFP
100,1555579080,faizkru,Faiz Razak,['infp find difficult finish task given endless imagination prefer call'],INFP
101,1643331904228212736,noisy_dawn,Ivan || UNF SPREE 📌,['𖣠 buscando mutals 𖣠 06 liner infp busco mutuals q interactuen chanin biased new'],INFP
102,1512901387264344067,tnystrwbuni,Elaine | ur fave stayzen 🐾,['restarting ๑ hi im chane sheher infp looking interactive kpop moot mainly'],INFP
103,1654014488763564032,enficxz,D ; ifb,['hi im kleo im looking interactive moot filo 09 liner infp looking engene fandom tho'],INFP
104,1549235931726708736,redhandsofdawn,rach 🪷,['also funny go artemis used go diana'],INFP
105,325043445,fairy___co,marimo,['im gonna e infp idek believe personality type tho lmaooo'],INFP
106,1652292183121334272,tzuluvcart,marga ❁,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
107,1075168733356875778,JamilaBrownie,Jamila Brown,['infp capricorn partly truth partly fiction walking contradiction lol'],INFP
108,1644885995219828737,linofaIsetto,cam ★ minsung au,['𖣠 buscando mutals 𖣠 06 liner infp busco mutuals q interactuen chanin biased new'],INFP
109,41188903,minordissent,Max 58K,['thought fj infp also'],INFP
110,1573113969451175937,lesbian_fish39,˗ˋˏ°• lesbian fish •°ˎˊ˗,['ahh im infp twinning face blowing kiss'],INFP
111,1642805262594748416,aovinix,Ace 🖤🏳️‍🌈 #notgoodagenda,['interactive tweet drop yr mbti im infp'],INFP
112,1607781167536668672,SLAYDYBUG,BEE •⚢,['mbti 4 character infp love see'],INFP
113,1549235931726708736,redhandsofdawn,rach 🪷,['completely agree never really liked frank james tho'],INFP
114,203101117,marahsartin,Sarah Martin Peters,['always infj year ago started getting infp thinking face'],INFP
115,1632959515489435650,mirrorballmaren,maren saw dbatc live 🪩,['infjinfp depending day debut evermore'],INFP
116,1221547197474451456,artemis_458,Artemis 🏹🏺,['yes haha frank james infp lol heard first chase'],INFP
117,1221547197474451456,artemis_458,Artemis 🏹🏺,['aw nice assumed infj like woman haha nice'],INFP
118,1542508760316293120,roxyiess,Pinkie Rose,['add mbti put four character mbti infp'],INFP
119,1588828914830299137,pickledonians,SNEZ 🎀 #1 sampo smoocher,['hii looking friend amp moot im hsm 14 homoflexible v chaotic infp libra'],INFP
120,813191590684528640,kimtaehyungbia,madison,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
121,1640373211031556097,hajeonguwu,wonzie✨,['hello im wonzie looking interactive moot new amp ᐟ sheher infp 03 liner engfil'],INFP
122,1407892891070996480,wonniemyluv_,corneto,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
123,1603162365163356168,iaglane,☆,['restarting ๑ hi im chane sheher infp looking interactive kpop moot'],INFP
124,1650168941443170305,kyefcxs,kye,['restarting pt4 hi hi im sophia new im looking interactive moot sheher 19'],INFP
125,1592804631981064193,bookchildz,KALea,['helloo im new im lookin new moot amp study buddy ___ call lala'],INFP
126,2599111352,BrandonMBest,Bear Wolf,['record youre talking someone who infp optimism mind personally'],INFP
127,1570329400587210753,lhdbmns,✩°｡ eli ⁷,['hiii im michh im looking interactive eng moot sheher infp new ults le'],INFP
128,1470909665030639620,Enacentric,🔮Ena,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon fa'],INFP
129,1636702257239691264,apokalieps,ARIE 🫧 check pinned!,['hi im kleo im looking interactive moot filo 09 liner infp looking engene fandom tho'],INFP
130,1455646951836368896,moremoreairii,kae 💌 exams hell,['hii looking friend amp moot im hsm 14 homoflexible v chaotic infp libra'],INFP
131,1600644992103583744,Hearts4_Himeko,ꕤ𓇿Em/Ruru!｡.🍷೨✧| NO.1 ROMEO SLANDER & ASH FAN,['big change new intro im ruru em hethey infp espen gmt 6flag mexico ribbon love hsr normal amount ribbon'],INFP
132,1740790404,Infp_Ace,Nick ♏🎭🧢 #UBI,['bruh crazy yall let holiday run yall life face tear joy'],INFP
133,1622610189869252609,thdeceit,9,['im infp u cant hate else'],INFP
134,1355151309238915074,beccivoyante,Becci Voyante 🌗,['infp amp harrrddd science ill narrow red evermore amp fearless'],INFP
