,user_id,user_screen_name,user_name,sentences,personality_type
0,1619719315464519685,niniyaazz,niya✿,['need hao yujin guest cause hao also isfp yujin also maknae'],ISFP
1,1331620633726259200,ssefnum,"Ssefnum ON, cek likes. 💚",['tl dry desert want expand social circle brief go feminine'],ISFP
2,1402699693109485572,txtinhos,gab,['omg isfp besties'],ISFP
3,1517477413264920576,_svtshua,joshua's 여보 🌻,['intp isfp isfp wow consistency hahahahaha'],ISFP
4,1309728901904478208,kyuuchew,sya,['thought im extrovert person turn im isfp frowning face open mouth'],ISFP
5,1607503049324371969,eepystarshine,Ena,['almost shat bcbi thought said isfp wasnlike im shinji'],ISFP
6,1304801547902091265,cellnxxb,cellnxxb,['doubt'],ISFP
7,1644066061464096794,trickhaus,mave,['used different website 16personalities got mbti really accurate w'],ISFP
8,1241560476292702213,ABasementCat,Basement Cat,['may 18th flickerkit finchlight nightheart note mostly went taurus nightheart'],ISFP
9,1422813694350688261,isfp___xrinp_oO,.,['dc full sugar honey pot link'],ISFP
10,1460774618134765571,Profokiev,Profokiev || AIB Era,['shes esfp isfp esfp 4 labelled introvert common mistake'],ISFP
11,2540635824,sevialee7,SIAP MENCINTAI ZB1! TAERAE HAOBIN,['isfp istigfar'],ISFP
12,1559786778068131841,isfp_girl07,はいからさん@shanbin,['breathtaking'],ISFP
13,262795624,PersonalityHack,Personality Hacker,['full episode 478 isfp career shift time'],ISFP
14,1234449371338395648,moonsearth99,Sarachiii⁷,['im isfp jk used isfp paint least think paint quiet actually loud'],ISFP
15,1253850385824886784,nancyfication,ᴅʏ 💎,['oh isfp gang smiling face'],ISFP
16,1074915294768852992,mmld_stannn,pichy_theworld,['im also isfpgrinning squinting face'],ISFP
17,1652997391979806720,lydian_pt2,Lydian/Shari⛓️,['day 6 looking 4 moot caius 15 isfp honkaihsr genshinpjsk'],ISFP
18,1559786778068131841,isfp_girl07,はいからさん@shanbin,['photo 230518 camera flash sung hanbin x'],ISFP
19,1495132284671963145,neko_cscs,neko,['day 6 looking 4 moot caius 15 isfp honkaihsr genshinpjsk'],ISFP
20,1550567241544237056,catluvr177,kuromi,['im also isfp girl hiii'],ISFP
21,1523211228562173952,waltzofamber,Ryou,['add mbti put 4 character type isfp cuma tiga ih'],ISFP
