,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9
ENFP/ENFJ,sam,another,ten,idol,v,yet,3rd,game,ask,telling
ENFP/ESTJ,sheher,interactive,cry,game,amp,e,according,virgo,another,v
ENFP/ESFJ,enfp,according,game,there,cat,hello,intp,option,yet,havent
ENFP/ESTP,enfp,isfp,according,w,people,sinb,there,many,enfj,first
ENFP/ESFP,according,enfp,enfj,another,many,time,whats,tear,intp,qrt
ENFP/ENTJ,enfp,according,idol,game,minor,vote,isfp,many,active,v
ENFP/ENTP,helloo,vote,according,enfp,game,telling,isfp,cat,virgo,others
ENFP/INFP,game,ceo,ht,sam,rabbit,standard,ა,૮,enfp,headphone
ENFP/INTP,ten,ა,૮,3rd,ceo,ht,helloo,acc,mbtis,haii
ENFP/INFJ,enfp,according,virgo,idol,pronoun,enfj,intp,havent,3rd,game
ENFP/INTJ,bobby,enfp,chanwoo,active,option,3rd,ht,voting,member,1st
ENFP/ISFP,helloo,05,please,idol,pronoun,enfp,option,yet,yeonjun,dream
ENFP/ISTP,enfp,enfj,vote,please,according,name,w,many,today,said
ENFP/ISFJ,enfp,w,enfj,according,intj,ten,05,yet,qrt,full
ENFP/ISTJ,wayv,please,idol,option,yet,flag,1,mainly,there,acc
ENFJ/ESTJ,sheher,guy,according,interactive,born,leader,boy,let,help,cry
ENFJ/ESFJ,according,guy,enfj,scorpio,intp,enfp,lee,hello,isfp,born
ENFJ/ESTP,enfj,isfp,according,leader,guy,enfp,help,heart,born,scorpio
ENFJ/ESFP,enfj,according,intp,leader,boy,guy,ᴗ,15,gel,enfp
ENFJ/ENTJ,according,minor,enfj,isfp,sheher,name,others,enfp,help,3
