,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9
ENFP/ENFJ,sinb,vote,virgo,yangyang,literal,wayv,faceewe,sauropod,૮,ა
ENFJ/ENFP,gold,unwavering,desire,empathetic,headbandage,skzsvt,gel,eya,ford,teddy
ENFP/ESTJ,enfp,enfj,hi,junhoe,donghyuk,intp,ikon,passport,jinhwan,yunhyeong
ESTJ/ENFP,exol,estj,lucky,bgm,gt_lt,mama,exo,baekhyuns,050623,kyoong
ENFP/ESFJ,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,w,1
ESFJ/ENFP,demiboy,gepard,izzie,gold,serving,nurturing,jia,ᅠ,jianna,kye
ENFP/ESTP,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,idol,game
ESTP/ENFP,jung,ahyeon,april,2007,position,rapper,kaden,bg,lyon,army
ENFP/ESFP,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,idol,sinb
ESFP/ENFP,sean,herb,04,kep,1er,lsfm,nmixx,artistic,rinn,hsrgenshin
ENFP/ENTJ,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,sinb,helloo
ENTJ/ENFP,entjartist,brain,brawn,table,savvy,jihoons,doyoung,entjs,style,opportunist
ENFP/ENTP,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,idol,sinb
ENTP/ENFP,youngk,xh,uid,position,charge,heitthey,rara,8540672,93,endless
ENFP/INFP,junhoe,donghyuk,ikon,passport,jinhwan,yunhyeong,chanwoo,sinb,preseason,baekho
INFP/ENFP,weather,sserafim,𖥔,reii,emotion,butterfly,ㅠ,230510,743pm,tag
ENFP/INTP,sinb,sam,yangyang,wayv,faceewe,sauropod,preseason,option,baekho,yeonjun
INTP/ENFP,lizzie,stanlist,lina,int,moacaratfearnot,sserafim,gaby,baemon,blackpink,twic
ENFP/INFJ,junhoe,isfp,donghyuk,ikon,passport,jinhwan,yunhyeong,bobby,chanwoo,sinb
INFJ/ENFP,jungwoo,doyoung,jaehyun,reset,kofi,bffs,mae,loona,taeyang,bust
