,ENFP,ENFJ,ESTJ,ESFJ,ESTP,ESFP,ENTJ,ENTP,INFP,INTP,INFJ,INTJ,ISFP,ISTP,ISFJ,ISTJ
ENFP,,"1208, 5971","488, 5971","707, 5856","763, 5868","814, 5821","989, 5907","1597, 6575","2591, 9087","2294, 8266","1372, 6305","1913, 7345","1093, 6120","945, 6086","1017, 5990","1044, 5925"
ENFJ,"1208, 5971",,"388, 2276","556, 2263","557, 2385","629, 2296","734, 2522","1009, 3856","1355, 7664","1224, 6511","884, 3386","1101, 5074","772, 2867","675, 2731","719, 2691","723, 2672"
ESTJ,"488, 5971","388, 2276",,"298, 1339","296, 1467","318, 1478","391, 1768","431, 3572","536, 7862","496, 6527","397, 2920","467, 4902","345, 2281","323, 1995","346, 1997","356, 1966"
ESFJ,"707, 5856","556, 2263","298, 1339",,"374, 1634","392, 1653","445, 1983","575, 3607","759, 7739","712, 6418","544, 2949","643, 4873","509, 2276","451, 2062","491, 2030","474, 2053"
ESTP,"763, 5868","557, 2385","296, 1467","374, 1634",,"451, 1659","497, 2003","661, 3559","824, 7733","780, 6406","573, 3015","698, 4887","517, 2384","487, 2114","482, 2172","490, 2145"
ESFP,"814, 5821","629, 2296","318, 1478","392, 1653","451, 1659",,"550, 1952","743, 3450","892, 7652","819, 6383","626, 2964","746, 4846","567, 2339","534, 2075","538, 2115","534, 2112"
ENTJ,"989, 5907","734, 2522","391, 1768","445, 1983","497, 2003","550, 1952",,"913, 3546","1129, 7614","1074, 6309","758, 3136","998, 4778","640, 2629","577, 2425","606, 2415","640, 2336"
ENTP,"1597, 6575","1009, 3856","431, 3572","575, 3607","661, 3559","743, 3450","913, 3546",,"1833, 8090","1769, 6803","1116, 4304","1511, 5636","914, 3965","801, 3861","854, 3803","857, 3786"
INFP,"2591, 9087","1355, 7664","536, 7862","759, 7739","824, 7733","892, 7652","1129, 7614","1833, 8090",,"2846, 9149","1586, 7864","2266, 8626","1270, 7753","1105, 7753","1134, 7743","1186, 7628"
INTP,"2294, 8266","1224, 6511","496, 6527","712, 6418","780, 6406","819, 6383","1074, 6309","1769, 6803","2846, 9149",,"1435, 6751","2137, 7469","1179, 6520","1033, 6482","1057, 6482","1084, 6417"
INFJ,"1372, 6305","884, 3386","397, 2920","544, 2949","573, 3015","626, 2964","758, 3136","1116, 4304","1586, 7864","1435, 6751",,"1334, 5270","815, 3443","738, 3267","809, 3173","813, 3154"
INTJ,"1913, 7345","1101, 5074","467, 4902","643, 4873","698, 4887","746, 4846","998, 4778","1511, 5636","2266, 8626","2137, 7469","1334, 5270",,"1003, 5189","905, 5055","965, 4983","1003, 4896"
ISFP,"1093, 6120","772, 2867","345, 2281","509, 2276","517, 2384","567, 2339","640, 2629","914, 3965","1270, 7753","1179, 6520","815, 3443","1003, 5189",,"703, 2594","674, 2700","688, 2661"
ISTP,"945, 6086","675, 2731","323, 1995","451, 2062","487, 2114","534, 2075","577, 2425","801, 3861","1105, 7753","1033, 6482","738, 3267","905, 5055","703, 2594",,"615, 2488","649, 2409"
ISFJ,"1017, 5990","719, 2691","346, 1997","491, 2030","482, 2172","538, 2115","606, 2415","854, 3803","1134, 7743","1057, 6482","809, 3173","965, 4983","674, 2700","615, 2488",,"678, 2399"
ISTJ,"1044, 5925","723, 2672","356, 1966","474, 2053","490, 2145","534, 2112","640, 2336","857, 3786","1186, 7628","1084, 6417","813, 3154","1003, 4896","688, 2661","649, 2409","678, 2399",
