,ENFP,ENFJ,ESTJ,ESFJ,ESTP,ESFP,ENTJ,ENTP,INFP,INTP,INFJ,INTJ,ISFP,ISTP,ISFJ,ISTJ
ENFP,,907,365,532,571,616,774,1279,2061,1842,1084,1536,883,723,793,812
ENFJ,907,,264,389,397,457,549,752,1030,933,663,843,572,478,537,539
ESTJ,365,264,,191,192,209,271,295,396,365,279,341,239,209,234,251
ESFJ,532,389,191,,255,273,305,415,565,526,388,489,365,302,350,340
ESTP,571,397,192,255,,309,356,485,616,598,418,523,388,347,341,360
ESFP,616,457,209,273,309,,403,550,667,617,456,568,423,380,388,387
ENTJ,774,549,271,305,356,403,,691,888,840,571,780,478,419,444,472
ENTP,1279,752,295,415,485,550,691,,1459,1400,865,1221,717,603,642,644
INFP,2061,1030,396,565,616,667,888,1459,,2262,1259,1837,996,846,868,912
INTP,1842,933,365,526,598,617,840,1400,2262,,1146,1750,931,778,812,835
INFJ,1084,663,279,388,418,456,571,865,1259,1146,,1063,640,555,609,597
INTJ,1536,843,341,489,523,568,780,1221,1837,1750,1063,,797,699,759,775
ISFP,883,572,239,365,388,423,478,717,996,931,640,797,,513,505,525
ISTP,723,478,209,302,347,380,419,603,846,778,555,699,513,,464,473
ISFJ,793,537,234,350,341,388,444,642,868,812,609,759,505,464,,505
ISTJ,812,539,251,340,360,387,472,644,912,835,597,775,525,473,505,
