,ENFP,ENFJ,ESTJ,ESFJ,ESTP,ESFP,ENTJ,ENTP,INFP,INTP,INFJ,INTJ,ISFP,ISTP,ISFJ,ISTJ
ENFP,,4282,4310,4221,4242,4192,4222,4628,6229,5634,4458,5184,4294,4356,4279,4249
ENFJ,4282,,1686,1681,1764,1684,1846,2856,5465,4626,2474,3744,2090,2020,1965,1969
ESTJ,4310,1686,,1021,1118,1124,1346,2714,5677,4706,2186,3692,1700,1502,1515,1489
ESFJ,4221,1681,1021,,1237,1241,1523,2719,5584,4629,2213,3641,1693,1561,1528,1556
ESTP,4242,1764,1118,1237,,1268,1520,2678,5581,4584,2252,3672,1746,1570,1645,1615
ESFP,4192,1684,1124,1241,1268,,1466,2588,5519,4586,2216,3622,1716,1544,1591,1601
ENTJ,4222,1846,1346,1523,1520,1466,,2652,5423,4486,2332,3544,1952,1812,1825,1777
ENTP,4628,2856,2714,2719,2678,2588,2652,,5697,4782,3160,4078,2890,2860,2845,2849
INFP,6229,5465,5677,5584,5581,5519,5423,5697,,6223,5537,6011,5497,5539,5558,5478
INTP,5634,4626,4706,4629,4584,4586,4486,4782,6223,,4730,5152,4594,4642,4637,4599
INFJ,4458,2474,2186,2213,2252,2216,2332,3160,5537,4730,,3834,2484,2396,2351,2383
INTJ,5184,3744,3692,3641,3672,3622,3544,4078,6011,5152,3834,,3800,3738,3681,3657
ISFP,4294,2090,1700,1693,1746,1716,1952,2890,5497,4594,2484,3800,,1914,1993,1961
ISTP,4356,2020,1502,1561,1570,1544,1812,2860,5539,4642,2396,3738,1914,,1817,1807
ISFJ,4279,1965,1515,1528,1645,1591,1825,2845,5558,4637,2351,3681,1993,1817,,1806
ISTJ,4249,1969,1489,1556,1615,1601,1777,2849,5478,4599,2383,3657,1961,1807,1806,
